time,Load,avg_p,avg_s1,max_d
4.94e-06,-21089.168499344,-167.73856219987,-36.06731150184,0
4.96e-06,-21215.210877603,-168.74076031107,-36.452472559919,0
4.98e-06,-21825.264813657,-173.59264805245,-39.502921719436,0
5e-06,-22769.964213741,-181.10618506324,-44.396131382824,0
5.02e-06,-23823.481738048,-189.48519142093,-49.888571973302,0
5.04e-06,-24735.835228659,-196.74138415299,-54.603741869613,0
5.06e-06,-25290.553588912,-201.15303472009,-57.349698813525,0
5.08e-06,-25354.402070648,-201.66046236458,-57.392857181313,0
5.1e-06,-24907.741563903,-198.107491731,-54.625141556933,0
5.12e-06,-24048.600603935,-191.2738294771,-49.586390685468,0
5.14e-06,-22969.625438965,-182.69172536695,-43.337421164001,0
5.16e-06,-21913.329496301,-174.29003939579,-37.213606263694,0
5.18e-06,-21116.041259739,-167.94842495526,-32.516231857003,0
5.2e-06,-20753.505930993,-165.06466919534,-30.21296589649,0
5.22e-06,-20900.656629001,-166.23473504907,-30.716356175542,0
5.24e-06,-21514.755167443,-171.11867753589,-33.791012820182,0
5.26e-06,-22445.688734053,-178.52254779694,-38.610321138645,0
5.28e-06,-23470.948716378,-186.67660706784,-43.949059374618,0
5.3e-06,-24347.149310275,-193.64508648772,-48.467082689812,0
5.32e-06,-24866.164601143,-197.77267358644,-51.018428321032,0
5.34e-06,-24902.93779553,-198.06475645884,-50.914555961416,0
5.36e-06,-24443.976957068,-194.41405393182,-48.081236747227,0
5.38e-06,-23590.040781713,-187.62196646684,-43.073324797707,0
5.4e-06,-22532.492485769,-179.21050053026,-36.944542413811,0
5.42e-06,-21508.872982373,-171.06891941207,-31.002848221078,0
5.44e-06,-20748.011129036,-165.01718234819,-26.508201382792,0
5.46e-06,-20417.354640572,-162.38704902441,-24.382560065678,0
5.48e-06,-20584.638899667,-163.71722190398,-24.998832887523,0
5.5e-06,-21202.660280939,-168.63224998235,-28.097052100239,0
5.52e-06,-22120.570660843,-175.93236666934,-32.846578364181,0
5.54e-06,-23118.996770429,-183.87281418896,-38.039486568804,0
5.56e-06,-23960.815962953,-190.56768481788,-42.370151864106,0
5.58e-06,-24445.842318767,-194.42485601464,-44.736357571061,0
5.6e-06,-24456.812389407,-194.51172246443,-44.492488913381,0
5.62e-06,-23986.103593291,-190.76768523095,-41.596632584514,0
5.64e-06,-23137.094313179,-184.01495907559,-36.61804956954,0
5.66e-06,-22099.943325918,-175.7659330385,-30.603801488339,0
5.68e-06,-21107.465416428,-167.87223556111,-24.835790718958,0
5.7e-06,-20381.345350943,-162.09696261967,-20.534609587927,0
5.72e-06,-20081.115959593,-159.70889281089,-18.578615357796,0
5.74e-06,-20267.637959506,-161.1920404538,-19.302858032925,0
5.76e-06,-20889.434253636,-166.13697691609,-22.423849767137,0
5.78e-06,-21794.941505678,-173.33827775995,-27.107036930459,0
5.8e-06,-22767.768633636,-181.0749465526,-32.160946445384,0
5.82e-06,-23576.76732687,-187.50863687545,-36.31288115713,0
5.84e-06,-24029.334610268,-191.10757307804,-38.502402274867,0
5.86e-06,-24015.656702669,-190.99841996122,-38.124926275494,0
5.88e-06,-23533.727228921,-187.16524526591,-35.16946032082,0
5.9e-06,-22689.43704359,-180.45022453823,-30.219081688047,0
5.92e-06,-21671.800745335,-172.35660942217,-24.314523915134,0
5.94e-06,-20709.118159965,-164.70007512478,-18.712797487517,0
5.96e-06,-20016.241790538,-159.18933742362,-14.59684695453,0
5.98e-06,-19745.130079483,-157.03290508667,-12.803305575129,0
6e-06,-19950.061110212,-158.66242954975,-13.630974298948,0
6.02e-06,-20575.463029254,-163.6359274287,-16.77382995637,0
6.04e-06,-21469.084454901,-170.74253252799,-21.393553945913,0
