time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
8.5,0.0015494353178042,7.3098241509803e-05,7.3593629171384e-09,0.0014763370762944,1.2203205817323e-08,1.9562568734461e-08,0.18619166364992,0.00010258237851415,0.00069515857719136,0,99.958758296062,0.0014344052322308,0.089046812476915,4.0008097721882e-07,0.18716274113734,0.094734294168104,0.0036561100132235,0.00098134904422385,0.02240278764421,0.18814419505526
8.75,0.0016370067575755,7.7431603141456e-05,2.1755268824863e-08,0.0015595751544341,-1.5887177560112e-08,5.8680912647512e-09,0.19179223363288,0.00010202614420274,0.00084960640905778,0,99.977315331735,0.0015480691123666,0.091406650843535,4.2289539709082e-07,0.19273614419173,0.097823228008121,0.0036185158059323,0.0010103952505818,0.02241803239796,0.19374679756053
9,0.0017231702861486,8.5106595646176e-05,2.5104187209926e-09,0.0016380636905024,-4.0085132509005e-08,-3.7574713788012e-08,0.19739479766693,0.00010274271296186,0.0010244494839221,0,99.99558074551,0.0016625444050774,0.093737564246166,2.3150898579498e-07,0.19831052532118,0.10092031842633,0.0035765317370437,0.0010394457374412,0.022410460239778,0.19935035914024
9.25,0.0018206396980099,9.4175917660391e-05,-4.0833625143666e-08,0.0017264637803495,-5.9276943972559e-09,-4.6761319540922e-08,0.20299685055864,0.00010267495846,0.0012205344857003,0,99.972203139392,0.0017773774928471,0.096040469783943,1.1912300583992e-07,0.20388572092938,0.10402593103811,0.0035717493391996,0.0010685265211633,0.022422185428398,0.20495443984877
9.5,0.0019183675220139,0.00010303429675511,-4.1991091686823e-08,0.0018153332252588,5.3754435192275e-08,1.1763343505452e-08,0.20860233233701,0.00010251778296362,0.0014395094337112,0,99.972362858607,0.0018923644075791,0.098316265745793,2.3402235685892e-07,0.20946442414299,0.10713896160737,0.0035841588021352,0.0010977110218132,0.022439909922427,0.21056220176762
9.75,0.0020044857204614,0.00011037347683988,-5.1578416899992e-10,0.0018941122436215,4.3554650999386e-08,4.3038866830386e-08,0.21421039717077,0.00010213487432322,0.001684787232152,0,99.993485179954,0.0020067991945373,0.10056711914963,4.6964923762973e-07,0.21504515475063,0.11025076427958,0.0035799344565078,0.0011271540788131,0.022439428283313,0.21617211904334
10,0.0020826022349897,0.00011496442234721,-2.3181062920445e-09,0.0019676378126425,-1.0442724395322e-08,-1.2760830687367e-08,0.2198152717776,0.00010155696446043,0.0019545722477157,0,99.994645160624,0.0021197198739788,0.10279854849014,9.6890926732716e-07,0.2206261143823,0.11335331711373,0.0035560774304515,0.0011572233733057,0.02244034151597,0.22178209026825
10.25,0.0021611466875857,0.00011520503993059,-3.7152423951702e-08,0.0020459416476551,-2.3368148305403e-09,-3.9489238782242e-08,0.22540556486815,0.0001010183882724,0.002247159067749,0,100.00553974917,0.0022298739852123,0.10503051176007,1.6919455952859e-06,0.22620766885627,0.1164148668525,0.0035304762165445,0.0011886899885236,0.022444425649081,0.22739268616388
10.5,0.0022356283890715,0.00010990279007152,-3.5116820188304e-08,0.0021257255989999,4.8559623063637e-08,1.3442802875332e-08,0.230938484427,0.00010042028644177,0.0025648725954403,0,100.0466378605,0.0023361302676678,0.1073305770388,2.6782375889395e-06,0.23178760952847,0.11932275885382,0.0035112147890856,0.0012229498341054,0.022428627324101,0.23300181778553
10.75,0.0022953323051121,9.9215981201559e-05,-7.0132929878548e-08,0.0021961163239105,8.0687497127831e-08,1.0554567249283e-08,0.23629782821228,9.9730933453142e-05,0.0029112467908649,0,100.09139915526,0.0024382352553651,0.10988611490563,3.8376415522113e-06,0.23736120581519,0.12179257453633,0.0034908467596662,0.0012622289091473,0.022393198451302,0.23860454600745
