time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
9.5,0.0020290914790891,0.00012913794233569,-8.5693977052538e-08,0.0018999535367534,4.181344954316e-08,-4.3880527509377e-08,0.20322628412657,7.1655194412175e-06,0.0013390147962478,0,99.457483008328,0.0019267436275918,0.095514870938357,3.8416109599341e-07,0.20363326697864,0.10432430678329,0.0014453549540738,0.001082869047452
9.75,0.0019877676633332,0.00013583789081779,-7.8070410640461e-08,0.0018519297725154,2.8756615329373e-08,-4.9313795311088e-08,0.20860302410687,7.1145382005666e-06,0.0015494621790191,0,98.863206365882,0.0020373094729314,0.097708952754439,7.6523132520143e-07,0.20901702154735,0.10713303215303,0.0014256476868543,0.0011128844296484
10,0.0020331597587495,0.0001381057660799,-7.3816013458638e-08,0.0018950539926696,4.56452019184e-09,-6.9251493266798e-08,0.21390905440318,7.0323933360734e-06,0.0018040669206997,0,97.791335433252,0.0021450707317492,0.099939180327614,1.2317974283718e-06,0.2143850844915,0.10999170966362,0.0013954661533086,0.0011445974801083
10.25,0.0021194636124561,0.00013464026838991,-9.8113331803358e-08,0.0019848233440662,1.7567062894677e-08,-8.0546268908681e-08,0.21910265906653,6.9751644591427e-06,0.0020962127050178,0,96.15310936211,0.0022487748072848,0.10230472381049,1.8838037307338e-06,0.21975584700149,0.11260318360135,0.0013769906012991,0.0011795446960016
10.5,0.0021915982437137,0.00012584571472882,-9.6278294359773e-08,0.0020657525289848,6.7998357836757e-08,-2.8279936523016e-08,0.22410504639037,6.8854406497066e-06,0.002418796915837,0,94.042832997052,0.002348722736829,0.10503004018203,2.5791357013565e-06,0.2251593057967,0.11468981512132,0.0013711190907472,0.0012200283142489
10.75,0.0022552923670889,0.00011448814805946,-3.6142792076419e-08,0.0021408042190294,1.1053441313027e-07,7.4391621053848e-08,0.22880448553723,6.8088294881609e-06,0.0027668327433018,0,91.900741027864,0.0024479130241668,0.10851547101827,3.3325656496148e-06,0.23063413160518,0.11582214743277,0.0013649714659187,0.0012689833461504
11,0.0023184977360441,0.00010588078541992,-8.1545749219987e-09,0.0022126169506242,1.3899502243948e-07,1.3084044751748e-07,0.2331397264888,6.7260629720151e-06,0.0031389355436837,0,90.601024224257,0.0025527733848513,0.11321814802048,4.0337871199053e-06,0.2362119033477,0.11562567913951,0.0013517044430039,0.0013293691892879
11.25,0.0023928368010587,0.00010834180184615,-6.4513513524649e-08,0.0022844949992126,1.8281342667029e-07,1.1829991314564e-07,0.23725802182871,6.6203083159951e-06,0.0035370865789778,0,91.170727661175,0.0026717788385595,0.11930802631766,4.8299051795469e-06,0.24188120760063,0.11419756761016,0.001335682437079,0.0014030316009133
11.5,0.0024891432083824,0.0001316778548687,-1.7428190131528e-07,0.0023574653535137,2.7594387109777e-07,1.0166196978249e-07,0.24159343720849,6.45234392441e-06,0.0039631228691678,0,94.156834592525,0.0028118064591317,0.12628675989266,5.9421634450184e-06,0.24755435483616,0.11231736886069,0.0013231025155597,0.0014894024043772
11.75,0.0026071602500074,0.00017882541071898,-4.4825947728886e-07,0.0024283348392885,5.4397610791287e-07,9.5716630624004e-08,0.24662882580095,6.1723949018054e-06,0.0044169575188211,0,98.968677359181,0.0029719952768743,0.13316109529596,7.686155072998e-06,0.25307505440141,0.11084802354301,0.0013137259890155,0.001584799857921
12,0.0027270026650972,0.00023088104844529,-1.1132082336763e-06,0.0024961216166519,1.1703773832076e-06,5.7169149531319e-08,0.25241951107448,5.7904063357075e-06,0.0048989053080546,0,103.7167771013,0.0031344756676004,0.13933465806948,1.0211440290899e-05,0.25829358801468,0.10974699170094,0.0013045213410145,0.0016831370523153
12.25,0.0028056624932574,0.00024453718728535,-2.1624625377114e-06,0.002561125305972,2.1081462173461e-06,-5.4316320365298e-08,0.2584465577049,5.3609669175719e-06,0.0054101956115289,0,106.03906113626,0.0032613742692695,0.14521457774095,1.3422532549896e-05,0.26318783491567,0.10815433895572,0.0012951384461436,0.0017782171309433
12.5,0.0028136470398313,0.00018656161352093,-3.2221420274657e-06,0.0026270854263104,3.0054195785672e-06,-2.167224488985e-07,0.26411415641485,4.9597219524828e-06,0.0059521693613808,0,104.70901385685,0.0033198037484873,0.1515287154487,1.7037484728749e-05,0.26793805016289,0.10574520726407,0.0012874223760689,0.0018665944725682
12.75,0.002768770745169,8.2280685242827e-05,-3.9012311793911e-06,0.0026864900599262,3.5968115715177e-06,-3.0441960787339e-07,0.26928519276697,4.5971370791583e-06,0.0065243505841816,0,100.82122740631,0.0033279115852321,0.15829336394388,2.0711294640301e-05,0.2728529995984,0.10325474483937,0.0012818726433411,0.0019491114652882
13,0.0027516537320492,1.0524753083679e-05,-4.1650273472486e-06,0.0027411289789655,3.9596635998867e-06,-2.0536374736186e-07,0.27422075138808,4.2096921299642e-06,0.0071253251036742,0,97.266970954922,0.0033621973203772,0.16503577799787,2.4277039307226e-05,0.27815507044938,0.1013276476706,0.0012772594863991,0.0020297478618915
13.25,0.0028211456711514,3.1011901642883e-05,-4.2037966503631e-06,0.0027901337695085,4.2289327247416e-06,2.5136074378498e-08,0.279226484348,3.7206081876598e-06,0.0077539774897862,0,96.547973654037,0.0034887320888299,0.17163742589751,2.7922755610907e-05,0.28378492454359,0.099753312915677,0.0012729051813626,0.0021123602772271
13.5,0.0029580521005759,0.00012322129074487,-4.1653957753697e-06,0.002834830809831,4.3419220465691e-06,1.7652627119945e-07,0.28444871017834,3.1067828698677e-06,0.0084086523571875,0,98.691376564927,0.0036887515812613,0.17827804482272,3.2027453056571e-05,0.28941937748109,0.098060990515265,0.0012691420328854,0.0021977644150456
13.75,0.0030768902853486,0.00020291221182579,-4.1325388640444e-06,0.0028739780735228,4.2391848902648e-06,1.0664602622039e-07,0.28978800721358,2.3963637869404e-06,0.009087609461351,0,101.3170123796,0.0038737017457916,0.18495417613466,3.6856802990161e-05,0.29473063623463,0.096053453264256,0.001265280653571,0.0022835336870208
14,0.0031032912288736,0.0001986800091339,-4.1557167834141e-06,0.0029046112197397,4.0916900566901e-06,-6.402672672405e-08,0.29501096444114,1.6047824560726e-06,0.009789286291721,0,101.98880852437,0.0039733952210193,0.19154663978914,4.2458800890595e-05,0.29967300474167,0.093767128817289,0.001258551618477,0.0023665471175597
14.25,0.0030519123602256,0.00012477929890553,-4.2733455552871e-06,0.0029271330613201,4.1406138788988e-06,-1.3273167638829e-07,0.30005203845462,7.0308869070387e-07,0.010512310462963,0,100.53272447205,0.0040058178145458,0.19805294938489,4.8807886247868e-05,0.3045173852536,0.091413010231701,0.0012453556699005,0.0024458117633436
14.5,0.0030186572485574,7.1379677024751e-05,-4.4647348513749e-06,0.0029472775715327,4.3658434267955e-06,-9.8891424579314e-08,0.3051006471789,-3.5092397599805e-07,0.011254419252896,0,98.888799207781,0.0040604073230218,0.20452250422927,5.5959844647486e-05,0.30958363340559,0.089293106360285,0.0012216552599034,0.0025230002455297
14.75,0.0030695767800163,9.9743026294589e-05,-4.554546545111e-06,0.0029698337537217,4.4611879852429e-06,-9.3358559868028e-08,0.31036077189747,-1.5972376005902e-06,0.012010927853871,0,98.776237798471,0.0041988903777178,0.21092986854891,6.413458118886e-05,0.31493712731634,0.087539347256566,0.001180818504369,0.0026006012149428
15,0.0031636395989028,0.00016701457389667,-4.2922163940589e-06,0.0029966250250062,4.2052059165257e-06,-8.7010477533139e-08,0.31580030283317,-3.1167116747491e-06,0.012773438751188,0,99.915666874563,0.004381756403743,0.21724594788159,7.3717232782824e-05,0.32036305755342,0.08593269700234,0.0011121847379951,0.0026798776929588
15.25,0.003211704027862,0.00018447809983516,-3.6467286264773e-06,0.0030272259280269,3.7694156459335e-06,1.2268701945615e-07,0.3211990689405,-5.0827910925832e-06,0.013529401291715,0,100.73705111534,0.004521923596672,0.22351065179148,8.5242836263471e-05,0.32562951923484,0.084202826308066,0.0010036815227835,0.0027605353149452
15.5,0.0031878287293675,0.00013059119931013,-3.0057212423829e-06,0.0030572375300574,3.5964021576041e-06,5.9068091522124e-07,0.32644100319365,-7.7447540620621e-06,0.01426280758744,0,100.41788193617,0.0045984805129165,0.22973500103923,9.9465701922724e-05,0.33073347151337,0.082384962318855,0.00084789532795465,0.0028418081458346
15.75,0.003153965177022,7.2901990161194e-05,-2.8742116992522e-06,0.0030810631868608,4.0121409282612e-06,1.137929229009e-06,0.33164073191231,-1.1291589580704e-05,0.014955092918706,0,99.65463304579,0.0046805333317719,0.23591983844757,0.00011731687729362,0.33586429075203,0.08065115023656,0.0006494267440422,0.0029233427428713
16,0.0031745388865972,7.7754696599834e-05,-3.3183086950023e-06,0.0030967841899973,4.9748323487953e-06,1.656523653793e-06,0.33696509425982,-1.5559992213042e-05,0.015588304466328,0,99.475262601855,0.004838045423805,0.24213743159016,0.00013929465599461,0.34116372317733,0.079067723510057,0.00043122255116618,0.003005092471254
16.25,0.0034388392895349,0.00012978013153697,-3.9601705158139e-06,0.003309059157998,6.2359937816917e-06,2.2758232658778e-06,0.34242299082214,-1.977112866395e-05,0.016122613958789,0,99.924211708889,0.0050630031191255,0.24843538889607,0.00016444893470727,0.34658322242195,0.078128515053709,0.00023399338879416,0.0030868775102351
16.5,0.0034860303556554,0.00016409931633375,-4.578345888877e-06,0.0033219310393216,7.724577762217e-06,3.14623187334e-06,0.34787968171515,-2.2820336723419e-05,0.01654405766473,0,100.27060699144,0.0052983330316299,0.25483429492702,0.00019028284967604,0.35198258807488,0.076520638915383,0.00010108438021776,0.0031683930306019
