time,DJ,DJint_1,DJint_2,Fy_top,J,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
53,-0.00034963681477041,-0.0062283853084192,0.0058787484936488,95.24442248824,0.072713145202748,3.1315174642295,0.14783716469115,2.9555152922225,0.035222502806325,0.14031651289482,3.1873133545361,3.4249378615665,0.055205761541998
53.5,-0.00092440122961642,-0.0069713567897642,0.0060469555601478,94.265481029331,0.073147076058852,3.1981127023175,0.14980586072248,3.0253544819682,0.035861459404847,0.14487017462565,3.2577936891573,3.4962345334466,0.053978150447041
54,-0.00056132590837397,-0.0067361152818693,0.0061747893734953,94.364116062419,0.074434998515511,3.2668043131899,0.15169849016605,3.0966473388547,0.036523438869218,0.14952246135357,3.3307523278052,3.5698326924414,0.053436990869653
54.5,0.00041364042921975,-0.0056947854866,0.0061084259158197,95.443248924499,0.076376536568134,3.338343296793,0.15349866153614,3.1697885699841,0.037206834221932,0.15342815745527,3.4058818967493,3.6455703471437,0.053126493853633
55,0.0012815070190932,-0.0044736045541682,0.0057551115732615,96.811549677446,0.078324351442983,3.4126575868551,0.15520210011146,3.2450265791566,0.0379039713037,0.15622746952286,3.4827548160321,3.7229842538882,0.052560448651962
55.5,0.0015916743213222,-0.0036315488484798,0.005223223169802,97.700098428378,0.079728938844103,3.4890119000791,0.15682291782092,3.3220772227566,0.038603996944217,0.15822613078206,3.5609086074046,3.8015976539644,0.051749229669396
56,0.0013742557504766,-0.0032070629989865,0.0045813187494631,97.887928277536,0.080623371871967,3.5666793632211,0.15836579043835,3.4002047512973,0.039296954037746,0.15999085572897,3.6400558200325,3.8811519005922,0.051288715404894
56.5,0.0013273601331735,-0.002777805168648,0.0041051653018215,97.837456459786,0.081546329103532,3.6454713257134,0.15980266270246,3.4787145085344,0.039977112397252,0.16174010416564,3.7200851476913,3.9615846405658,0.051674399893548
57,0.001626332049584,-0.0019971456071127,0.0036234776566968,98.169777441194,0.082956686564954,3.7256482694405,0.16111858463198,3.5574844407815,0.040644189023204,0.16328225089933,3.8009435025668,4.0428402293321,0.052492393843261
57.5,0.0022942594015363,-0.0010305650120551,0.0033248244135914,99.007575088193,0.084726326416843,3.8073569365094,0.16234947287176,3.6368117161836,0.0413022491565,0.16423910907549,3.8824547665763,4.1247205693258,0.053344918458205
58,0.0027600866301268,-0.00042181475184704,0.0031819013819739,99.85285537298,0.086231156248729,3.8901692383311,0.16352620997919,3.7169004484441,0.041957241287838,0.16447685582943,3.9642254833266,4.206899560552,0.053731923438275
58.5,0.002360951491197,-0.00062719266052474,0.0029881441517218,100.06924073192,0.08689752855227,3.9731831272927,0.1646771949131,3.7978382707571,0.042614652000617,0.16442123385745,4.0460073270586,4.2891240829737,0.05324969490743
59,0.0012177665025824,-0.0016574507474777,0.0028752172500601,99.437257315942,0.086658820231966,4.0555896432391,0.16581997485112,3.8796588934391,0.043278335856505,0.16475530869544,4.1278304026356,4.3714182186119,0.052064378519751
59.5,-0.00023901096150367,-0.0029574067977507,0.002718395836247,98.290715846893,0.086045135266954,4.1371994598311,0.16693192106527,3.9624620080015,0.043950525862522,0.16596780277264,4.2100229566375,4.454098996479,0.050253091608669
60,-0.0012721498664615,-0.0036896192480275,0.002417469381566,97.230786166996,0.085864410333709,4.2185504408182,0.16798197825708,4.0463562660137,0.044632229618621,0.16808239383933,4.2931401286151,4.537611545632,0.048277346124407
