time,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
2.7e-05,0.0013494415727908,0.062082308490266,0.00015832191446402,0.046487747235165,0.002408129567533,13945.831080173,0.20931559847885,0.26536850383362,0.015148301754865
2.75e-05,0.001388393440635,0.064157506999645,0.00022686400877683,0.04788675856525,0.0025020152528688,14754.206866506,0.21644815002216,0.27254351332029,0.01582562058815
2.8e-05,0.0014664063444183,0.06635274206811,0.00026289075922899,0.049318007250809,0.0026023821567378,15689.259777589,0.22400491254686,0.28015437998132,0.016609607440397
2.85e-05,0.0015740015978455,0.068705983512216,0.00031487625786899,0.050770401318263,0.0027060169542872,16059.428598554,0.23187589443703,0.28809155207535,0.017489860125736
2.9e-05,0.0016782334819955,0.071137152357107,0.00039335156999713,0.052184927409286,0.002810247706254,15595.734316369,0.23971842420249,0.29600534280408,0.018387196243855
2.95e-05,0.0017443789181252,0.073499150267619,0.00049080605670091,0.053579669910409,0.0029156219979909,14647.470604929,0.24721189294011,0.30356614403441,0.019148535108745
3e-05,0.0017661185401351,0.07569734011241,0.00059874086847415,0.054999790946068,0.003030257872396,13894.427529621,0.25428771716961,0.31070161856805,0.019743466391524
3.05e-05,0.0017754019934706,0.077757410247368,0.00071098684016683,0.05643014603518,0.0031482005390337,13794.268789573,0.26115356817687,0.31762379264784,0.020283589866524
3.1e-05,0.0018165578893982,0.079782084270297,0.00082420421919699,0.057840059596684,0.0032703679593929,14238.706516352,0.26810063527539,0.32463203647433,0.020876035128094
3.15e-05,0.0019054532024626,0.081860274148437,0.00092807871729531,0.059219449909472,0.0033970234141175,14719.699487846,0.27526984930198,0.33187163797538,0.021578366322895
3.2e-05,0.00201477139543,0.084001597040093,0.0010159456020237,0.060568574624101,0.003527254846219,14826.79440019,0.2825800946177,0.33925826144738,0.022361958126412
3.25e-05,0.0021036392677591,0.086140411106751,0.001094447872674,0.061932435040349,0.0036597223378585,14585.757264837,0.2898565758059,0.34661139936364,0.023088842820821
