time,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,DJint,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
13.875,0.00015563693148055,-8.0739221214181e-06,0.0017921085790271,8.0014925677515e-06,-7.2429553666614e-08,0.0019477455105076,0.29109007104167,4.822744878373e-05,0.042227674569776,0,100.20790824376,0.0038786078878907,0.18754805823622,8.8833304328913e-05,0.29620493483867,0.095501245077401,0.0029716441914393,0.002325615756099
14.125,0.0001532018606482,-7.575494225112e-06,0.0016941275786326,7.6980428703863e-06,1.2254864527433e-07,0.0018473294392808,0.29643842899543,4.1025304731598e-05,0.044935279966858,0,100.16171634563,0.0039814636401841,0.19424986477503,0.00010078411451664,0.30127173721103,0.093222719348697,0.0029452577118184,0.0024065145725984
14.375,0.00013647002417473,-6.7997721839893e-06,0.0015840443515464,7.2469737511654e-06,4.4720156717607e-07,0.0017205143757211,0.30150590419952,3.2339732304673e-05,0.047668577203171,0,100.09519942131,0.0040709876457048,0.20090859508902,0.00011394371037098,0.30632490432568,0.091008229665915,0.0028973382774972,0.0024843551987147
14.625,0.00013966196154648,-5.4361381826326e-06,0.0014633800745059,6.0521634928138e-06,6.1602531018121e-07,0.0016030420360524,0.30641309666736,2.036319411001e-05,0.050421175077907,0,100.05907573943,0.0041822881438948,0.20748378443783,0.00012918295128462,0.31137032706109,0.088844075214186,0.0028073980361455,0.0025615578818198
14.875,0.00016466948363066,-3.2517076975535e-06,0.0013843765347583,3.6257326954075e-06,3.7402499785403e-07,0.001549046018389,0.31142370398493,1.9743386496117e-07,0.05307011222005,0,100.06772036703,0.0043195412846242,0.21400852477048,0.00014882770096737,0.31640965941536,0.086731866210284,0.0026471926844371,0.0026400630575135
15.125,0.00017769825367947,-3.4658149744363e-07,0.0011653352303594,1.6060899533022e-07,-1.8597250211341e-07,0.0013430334840389,0.31662485995898,-3.7335099617781e-05,0.055635963439477,0,100.0822847113,0.0044517832562016,0.22052211936341,0.0001781499690986,0.32144088615042,0.084621175114116,0.0023876564294629,0.0027201694063448
15.375,0.00015262310776679,2.6714151062374e-06,0.00085936957596767,-3.2767703374583e-06,-6.0535523122094e-07,0.0010119926837345,0.32185653724001,-0.00010221545104313,0.058213842701164,0,100.04982278677,0.0045538319461049,0.22694726594883,0.00022627553552886,0.32646346339969,0.082626699260039,0.0020133205557356,0.0028011874636707
15.625,0.00010471266685019,4.7174393744801e-06,-0.00011663276640718,-5.072479152969e-06,-3.5503977848887e-07,-1.1920099556992e-05,0.32696748349747,-0.00019462297025519,0.060445376803136,0,99.959703671529,0.0046405592337524,0.23325354842872,0.00030305086340298,0.33148282519345,0.080720111357679,0.0015406264007652,0.0028825785882901
15.875,7.0910082731801e-05,4.6176489069657e-06,0.00016902901786101,-3.9700014651158e-06,6.4764744184987e-07,0.00023993910059281,0.33198858183041,-0.00029201153711022,0.06244113691563,0,99.84882855291,0.0047511100274407,0.23959741268225,0.00040857245483369,0.33650951768665,0.078812321831274,0.0010294253907241,0.0029642343748001
16.125,6.5249174842182e-05,2.0555352406618e-06,0.0019712748473297,-4.8679506233213e-07,1.5687401783297e-06,0.0020365240221718,0.33704572755761,-0.00034923403557113,0.064305518558733,0,99.748638727393,0.0049069015720773,0.24591045148592,0.00051946944028716,0.34155481719141,0.077021599056941,0.00057342246485058,0.0030460500734694
16.375,6.9069819542496e-05,-1.9716674642572e-06,0.0020371160729561,3.2237133266896e-06,1.2520458624324e-06,0.0021061858924986,0.34219175528754,-0.00032765904757727,0.066151262526135,0,99.65235874169,0.0050989717155613,0.25221636127561,0.00058960765281277,0.34662869439124,0.075245637872964,0.00026142577982687,0.0031277247182683
16.625,6.1815396603407e-05,-6.8730512132285e-06,0.00023035918483954,6.3452517673556e-06,-5.2779944587287e-07,0.00029217458144295,0.34738120058294,-0.00023956292444772,0.067939211697285,0,99.545946061825,0.0053107186443807,0.25856099755158,0.00058341896577531,0.35174133293974,0.073521341387675,0.00012474365681382,0.0032090263076538
16.875,4.4157275329399e-05,-1.4683817459999e-05,-0.0006912473607188,1.115935079633e-05,-3.5244666636688e-06,-0.0006470900853894,0.35257845727774,-0.00015546543434409,0.069633586480581,0,99.446096251086,0.0055333665807713,0.26493360806713,0.00052480384682479,0.35690378218142,0.071815388904682,0.00011335648604007,0.0032899835857294
17.125,2.8654523705097e-05,-2.8982843161163e-05,0.0002030644981189,2.1169735803709e-05,-7.8131073574545e-06,0.000231719021824,0.35781136507172,-0.00014578527715714,0.07145083677794,0,99.387668515098,0.0057586842851916,0.27138509306435,0.00050034608434277,0.36212522089563,0.070084217349459,0.00013691891333107,0.0033707271654565
17.375,2.2133777108177e-05,-5.1882636885487e-05,0.0011544773411625,3.9662601431326e-05,-1.2220035454161e-05,0.0011766111182707,0.36311879388038,-0.00021210626084452,0.073438763196501,0,99.384002026957,0.0059765873326494,0.27793947535347,0.00058252846462319,0.3674096700999,0.068279864885836,0.00014720725785913,0.0034513240919302
17.625,2.1751134377335e-05,-8.1533128415498e-05,0.00093725969530139,6.6944414989046e-05,-1.4588713426452e-05,0.00095901082967872,0.36849916634082,-0.00029348414448307,0.075571435020251,0,99.413015538221,0.0061862459214532,0.28463911559942,0.00074740638548331,0.37275585974112,0.066353228375424,0.00017365034701481,0.003531876765374
