time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
14.25,0.0030416801977765,0.00011109238371461,-4.5210000634639e-06,0.0029305878140619,4.3632827047025e-06,-1.5771735876135e-07,0.30014821321175,4.9509300608766e-07,0.010668032326936,0,100.46925822001,0.0039921708553299,0.19818507454393,5.0389477924102e-05,0.30462237947774,0.091303819956601,0.0012458150612172,0.0024458200650559
14.5,0.0030181763162007,6.6718205895487e-05,-4.7492412321175e-06,0.0029514581103053,4.6071443732016e-06,-1.4209685891593e-07,0.30525516454342,-5.4826430661977e-07,0.011412141864697,0,98.859907552749,0.0040558370108203,0.20465747114402,5.7535317315048e-05,0.30975079167124,0.089242972765947,0.0012238964815206,0.002523008968144
14.75,0.0030822347268977,0.00010882457745777,-4.8348096254742e-06,0.0029734101494399,4.6689316624162e-06,-1.65877963058e-07,0.31056965286541,-1.782258118987e-06,0.01217066242369,0,98.786904153823,0.0042081658334917,0.21106788821376,6.5746625964801e-05,0.31516002528853,0.087536844762364,0.0011841158913043,0.0026006104782529
15,0.0031856384652221,0.00018588717318388,-4.4122877854106e-06,0.0029997512920382,4.334389241419e-06,-7.7898543991563e-08,0.31605269781762,-3.3076369131544e-06,0.012934648938964,0,99.954465603544,0.0044008189729997,0.21739424159748,7.5376468613564e-05,0.32062592600668,0.085955097574933,0.0011153005899329,0.0026798873030518
15.25,0.0032329203008764,0.00020335579796224,-3.4496503142682e-06,0.0030295645029141,3.724477410941e-06,2.7482709667276e-07,0.32148582261906,-5.3154796053076e-06,0.013691176386277,0,100.78944850422,0.0045408896521863,0.22367017143093,8.6917322445863e-05,0.32591938021081,0.084243026117576,0.0010054348963642,0.0027605449422136
15.5,0.0032004463008421,0.00014173613839478,-2.4433352455971e-06,0.0030587101624473,3.2323897652012e-06,7.8905451960403e-07,0.32675677868942,-8.0354196359345e-06,0.014423569767113,0,100.4744616823,0.0046096871782423,0.22990190408699,0.00010109754345898,0.33104552170354,0.08244073439887,0.00084758743933088,0.0028418175961513
15.75,0.0031574384007957,7.5208193624389e-05,-2.0245576768811e-06,0.0030822302071714,3.2799082213032e-06,1.2553505444221e-06,0.3319778362561,-1.1598256091031e-05,0.015113580300244,0,99.707329545406,0.0046828481864458,0.23609743009453,0.00011877403037839,0.33619574479031,0.080715306902274,0.0006473584376552,0.0029233520330321
16,0.0031719617410868,7.451525930201e-05,-2.3517030931975e-06,0.0030974464817848,4.0481053237773e-06,1.6964022305798e-06,0.33731054032182,-1.5801553991044e-05,0.015743341755473,0,99.511582380998,0.004834681821878,0.24232674713072,0.00014034738697379,0.34150600623117,0.079137130622073,0.00042877190127029,0.003005101695776
16.25,0.0034297985523453,0.00012428318636127,-3.1003739985754e-06,0.0033055153659841,5.4329380591884e-06,2.332564060613e-06,0.34276447413057,-1.9912966143072e-05,0.016273532874183,0,99.932288519034,0.0050574006841749,0.24863048504377,0.00016495306571163,0.34692448657549,0.078194231934452,0.00023265012046013,0.0030868867115173
16.5,0.0034758669934449,0.00015849857957554,-4.0335400220193e-06,0.0033173684138693,7.2828000648482e-06,3.2492600428288e-06,0.34821523306962,-2.2922396816727e-05,0.016690698260682,0,100.25198562348,0.0052928753183272,0.2550331754885,0.00019045462487109,0.35231819571083,0.076580697681784,0.00010128924287491,0.0031684022231291
16.75,0.0033960831882415,0.00015052363166764,-5.3813678859024e-06,0.0032455595565739,9.5996459604864e-06,4.218278074584e-06,0.35359537276893,-2.4518950176355e-05,0.0170217916046,0,100.09708922176,0.0055142143279553,0.26148553468212,0.00021527455746064,0.35764631983066,0.07504478714859,5.3014725237427e-05,0.0032495231016289
17,0.0033392548926375,0.00013104117587472,-7.8010236218814e-06,0.0032082137167628,1.2505212067759e-05,4.704188445878e-06,0.35897475486605,-2.6133082948257e-05,0.017300074387266,0,99.805315265838,0.0057388154532185,0.26786542648708,0.00024170994981297,0.36298440615513,0.073731972074947,6.5949696418691e-05,0.0033303534097274
17.25,0.0033423214127374,0.00013020286574294,-1.2115012804197e-05,0.0032121185469945,1.6089629513423e-05,3.9746167092259e-06,0.36444184493864,-3.0416795579325e-05,0.017555651233252,0,99.780453157164,0.0059763605715502,0.27418116636348,0.00027736411210129,0.36840767516924,0.072550239926043,9.3537407968135e-05,0.0034110139937856
