time,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,DJint,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
16.875,4.4157275331409e-05,-1.4683818022227e-05,-0.00067013745478731,1.1159351762439e-05,-3.5244662597879e-06,-0.0006259801794559,0.35257845727774,-0.00015546543792833,0.069632564811369,0,99.446096250594,0.0055333665807732,0.26493351242235,0.00052480384757775,0.35690378218142,0.071814715714734,0.00011335648669337,0.0032899835857294
17.125,2.8654523722763e-05,-2.8982845766164e-05,0.00025426744265333,2.116974021086e-05,-7.8131055553041e-06,0.0002829219663761,0.35781136507172,-0.00014578529313129,0.07145099614289,0,99.387668512318,0.0057586842852093,0.27138564732969,0.00050034608834375,0.36212522089562,0.070083869146489,0.00013691891679766,0.0033707271654564
17.375,2.2133777242138e-05,-5.1882646559941e-05,0.0011597574793411,3.9662617170711e-05,-1.222002938923e-05,0.0011818912565832,0.36311879388038,-0.00021210631543586,0.073439430733089,0,99.384002012454,0.0059765873327833,0.27794006307332,0.00058252848179366,0.36740967009989,0.068279141471131,0.00014720727299845,0.0034513240919302
17.625,2.1751135219735e-05,-8.1533155476328e-05,0.00090433092058437,6.694445524274e-05,-1.4588700233588e-05,0.00092608205580411,0.36849916634088,-0.00029348427466044,0.075571729302933,0,99.41301546874,0.0061862459222955,0.28463974024729,0.00074740644296946,0.37275585974099,0.066352919143825,0.00017365039797588,0.0035318767653739
17.875,1.8852100986826e-05,-0.00011196852189139,0.00030732754727321,9.7903759303332e-05,-1.4064762588054e-05,0.00032617964826004,0.37392970458573,-0.00034229702682587,0.077813873785901,0,99.438126789523,0.0063952697376776,0.29148156795595,0.00090472057493483,0.3781603545468,0.064331849573515,0.00025801929162954,0.003612647639772
18.125,4.77612227095e-06,-0.00013626290877551,0.00014489938534776,0.00012413209647857,-1.2130812296949e-05,0.00014967550761871,0.37940466538312,-0.00036872988532253,0.080045359502152,0,99.434418849081,0.0066045856276621,0.29840636110975,0.0010148542976107,0.38362121858409,0.062320259660387,0.00037454917527511,0.0036939320587082
18.375,-1.9978397664374e-05,-0.00015157266740414,0.00031877016646197,0.00014023581253463,-1.1336854869513e-05,0.0002987917687976,0.38493370428013,-0.00040119145163912,0.08205518051075,0,99.397697958153,0.0068084520406309,0.30534288774909,0.0011209107470676,0.38913992678295,0.06040271413028,0.00046195627549925,0.0037758348142284
18.625,-4.3836774980857e-05,-0.00015893696965627,0.00068622106113647,0.00014473654392749,-1.4200425728781e-05,0.00064238428615562,0.39052135214373,-0.0004351291826516,0.083757095433758,0,99.338430462131,0.0070095421318784,0.31225346183833,0.0012480730012874,0.39472116880476,0.058608276872473,0.00051378870553318,0.003858257782391
18.875,-5.6668599417622e-05,-0.0001578805329806,0.00096132206907286,0.00013993530371261,-1.7945229267985e-05,0.00090465346965524,0.39616706705056,-0.00044806367684245,0.085191528358178,0,99.267724220893,0.0072170309702942,0.31915014593462,0.00134644557529,0.40037150502444,0.056948503025804,0.00057021981998532,0.0039410801096062
19.125,-5.9454809280592e-05,-0.00015229009660326,0.00096389751537879,0.00013307111642548,-1.9218980177779e-05,0.00090444270609819,0.40187742128855,-0.00043377355882991,0.086469307668698,0,99.176150084737,0.0074303937048438,0.32602642947721,0.0013704136152402,0.40609858239082,0.05545081611916,0.00064424226351292,0.0040242745501028
19.375,-6.0054153516104e-05,-0.0001530108144035,0.00083169683264978,0.00013129737892488,-2.1713435478628e-05,0.00077164267913368,0.40766592882274,-0.00039863060029209,0.087705140310703,0,99.0145057332,0.0076397504495282,0.33285933677779,0.0013392693924103,0.41191317291387,0.054142235765944,0.00072619684437973,0.0041078723592962
19.625,-6.9014989436056e-05,-0.00016586934925818,0.00072041978971102,0.00013874205029773,-2.7127298960442e-05,0.00065140480027496,0.41354693759211,-0.00034901968722831,0.088969108115369,0,98.695014765473,0.007837030626776,0.33965576311817,0.0012871046781101,0.41783548568697,0.052999771009063,0.00082470666925901,0.0041919225873192
19.875,-9.9491208032202e-05,-0.00018284578737518,0.0007090681896992,0.00015179831245887,-3.1047474916311e-05,0.000609576981667,0.41954124875504,-0.00029017752160001,0.090291371869272,0,98.112641528403,0.0080161186155132,0.34644939398897,0.0012179106428597,0.42390486063658,0.051992967398387,0.00094325862041775,0.0042765568547341
20.125,-0.00016324464073492,-0.0001900768367931,0.00071563152695539,0.00016060430481112,-2.9472531981976e-05,0.00055238688622047,0.42569036872039,-0.00016084178072959,0.091699901122197,0,97.162958969006,0.0081706956375025,0.35329613087162,0.0011239144500578,0.43019064472658,0.051095819385498,0.0010614493099745,0.0043621104455657
20.375,-0.00026955471239431,-0.0001842354430547,0.00077070795441229,0.00016248663967486,-2.174880337984e-05,0.00050115324201799,0.4320664977124,-4.9617889283194e-05,0.092949670174202,0,95.749549650951,0.008296965300459,0.36022267137258,0.001004620381814,0.43680298500802,0.050463013972659,0.001165191223917,0.0044492186069667
20.625,-0.00042681306802491,-0.00017257509340694,0.00090901672849153,0.00015836991291093,-1.4205180496008e-05,0.00048220366046662,0.43877570586712,7.3287999051028e-05,0.094002530046828,0,93.809677144551,0.0083936193453891,0.36732779578381,0.00086907076729792,0.44390236945011,0.050038266256721,0.0012485933251615,0.0045388774913516
20.875,-0.00063277339738293,-0.00016371301141723,0.00095585110794859,0.00015112167480213,-1.2591336615105e-05,0.00032307771056566,0.44595770627396,0.00017607207259142,0.095101140867879,0,91.383761445781,0.0084659043469624,0.37484978027619,0.00073567652952274,0.45170332176652,0.049803089288078,0.0013042087261428,0.0046324803122157
21.125,-0.00086262836175254,-0.00015759497987141,0.0010539100377317,0.00014210162327358,-1.5493356597832e-05,0.00019128167597912,0.45378293892737,0.0002655698843353,0.096143523654446,0,88.71124669184,0.0085352936889789,0.38288518181754,0.000619023372751,0.46046345651305,0.04999232874636,0.001333296253118,0.0047317930910008
21.375,-0.0010721606267647,-0.00014569814710998,0.0011900958923804,0.0001349580522572,-1.0740094852777e-05,0.00011793526561566,0.46244951077335,0.00034754577901202,0.097153244075632,0,86.301607907004,0.0086399117461556,0.39160056725895,0.00051862958009067,0.47044923902676,0.050554759800493,0.001343969267457,0.0048387977510738
21.625,-0.0012076280752495,-0.00012363339928437,0.0011193535155583,0.00012534297853163,1.7095792472561e-06,-8.8274559691197e-05,0.47218739298628,0.00042339779595651,0.098446716435859,0,84.917803015467,0.0088276566928156,0.4012899837564,0.00042862729730275,0.4818757674324,0.05148645015677,0.0013404695804687,0.0049553459365912
21.875,-0.0012133179187147,-9.6930075808868e-05,0.00099110216410578,0.00010879819488043,1.1868119071567e-05,-0.00022221575460896,0.48326407232696,0.00048910745804122,0.099853525655227,0,85.404244752371,0.0091506827951825,0.41194105487333,0.00034770215762661,0.49482803310218,0.053125122944332,0.0013249519972182,0.00508263974534
22.125,-0.0010490138329849,-7.2026663010259e-05,0.0010161884985346,8.6878966425693e-05,1.4852303415434e-05,-3.2825334450366e-05,0.49594613853009,0.00053982707867845,0.10152290767286,0,88.330151585617,0.0096490358845454,0.42309906876972,0.00027809666274906,0.50918451167849,0.05594972556856,0.0013021801176001,0.0052206696864969
22.375,-0.00072686326516104,-5.0361267793752e-05,0.0011442297356417,6.1754832330658e-05,1.1393564536906e-05,0.00041736647048069,0.51035641181381,0.0005704942593737,0.10329521572309,0,93.55743509068,0.010312882602633,0.43414540453973,0.00022248374037586,0.52457795648003,0.060187517830817,0.0012814196493643,0.0053678371134811
22.625,-0.00034541199459361,-3.1128033142888e-05,0.0013762830246365,3.6084259535303e-05,4.9562263924154e-06,0.0010308710300429,0.52625297614888,0.00058476716647604,0.10503343585558,0,100.00007997558,0.011046767582818,0.44470907124313,0.00018157570981887,0.54043227190822,0.065386017542584,0.0012774418474771,0.0055209960463753
22.875,-7.7101669883058e-05,-1.4003930647489e-05,0.0014704699039813,1.653345997481e-05,2.5295293273204e-06,0.0013933682340983,0.5429093209719,0.00058538456055056,0.10694041706695,0,105.82453592506,0.011680846906956,0.45494818500125,0.00015404579008663,0.55609398369061,0.070475718016803,0.001305821798538,0.0056760417640594
23.125,-9.3450622419557e-05,2.0541155314976e-06,0.0016997677542523,-6.4395517427809e-06,-4.3854362112833e-06,0.0016063171318327,0.55930237601699,0.00057409973716459,0.10892857440339,2.0772589106194e-05,109.10014034684,0.012045162270948,0.46539419118881,0.00013851905033725,0.57103081683256,0.074321882955914,0.0013764097124569,0.0058289704054131
23.375,-0.00046695448281269,2.9800736878704e-05,0.0018696791989484,-2.3243543895665e-05,6.5571929830386e-06,0.0014027247161357,0.57457698204766,0.00052816441156107,0.1108182893107,0.00013716124240941,108.64446890323,0.012067338585602,0.47642552405004,0.00013501472936889,0.58502041350132,0.076586617149857,0.0014897021081641,0.0059770834885013
23.625,-0.0011131958598529,8.2519893762403e-05,0.0018836409226882,-2.8898614465554e-05,5.3621279296849e-05,0.00077044506283528,0.58845044618966,0.00046892836751423,0.112937194087,0.00040881123115569,104.6964249367,0.011829949215937,0.48790332328314,0.00014272246207487,0.59823372765093,0.077818016526266,0.0016401961295146,0.0061198241651417
23.875,-0.0018143409524565,0.00015516466315345,0.0021142232581134,-3.7025719378483e-05,0.00011813894377497,0.00029988230565691,0.60125585044832,0.00041252332628711,0.11518493919264,0.00083882356769922,99.05210625047,0.011547264997525,0.49938777949176,0.00016028826735876,0.61115251876129,0.078915015281779,0.0018260220682424,0.0062587734122628
