time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,ce_int,max_disp_y
41.5,0.0011291562951289,-0.022022703512573,-0.00067658277275051,0.023151859807702,0.0015833036403894,0.00090672086763887,1.8369448534073,0.00025563365227537,0.43611129135936,0.080459800658833,97.075119150327,0.041507404845717,1.6797618334454,0.0029003032827422,1.8618656985904,0.067879934032739,0.00051141303467749,0,0.021103511055803
41.75,-0.00013629686474462,-0.022347216172173,-0.00051935845269578,0.022210919307429,0.0013517256521334,0.00083236719943765,1.8580167267269,0.00028704435289574,0.44145617420148,0.080326996990555,96.303963281449,0.041532746237777,1.7019048229548,0.0027894476919569,1.8852645482906,0.066500951575792,0.00052829349123198,0,0.021371817501459
42,-2.2940683162644e-05,-0.022654505005754,-0.00047374269872084,0.022631564322592,0.0016604024538473,0.0011866597551264,1.879320545472,0.00029996540057779,0.44641980711038,0.080180835250899,95.398723322032,0.041574581677333,1.7242965434721,0.0027085701013162,1.9093990983317,0.065594334983991,0.00051617084126602,0,0.021657222073371
42.25,0.00279808903836,-0.022797975878527,-0.00051714124734634,0.025596064916887,0.0017442599569335,0.0012271187095871,1.9010306861152,0.00029533696369603,0.45067251444632,0.080046364154923,94.556772836765,0.041792432779993,1.7470335090707,0.0026304672151604,1.9342535076113,0.065084832661649,0.00051237140569453,0,0.021940398783851
42.5,0.0065633335458108,-0.022745465770774,-0.00060724889688399,0.029308799316585,0.0012489491143604,0.00064170021747642,1.9233424108461,0.00029264895047697,0.45480780092519,0.079985737141316,93.940665458291,0.042226418396208,1.7701691936984,0.0025298152623411,1.9598502719345,0.065190944275824,0.00053400501615612,0,0.022225278181931
42.75,0.0083255604746557,-0.022519365998901,-0.00066736287172906,0.030844926473557,0.00058380611746664,-8.3556754262425e-05,1.9464348602791,0.00029540486218197,0.45911406438579,0.080057853030114,93.656279711756,0.042854582742596,1.7939103447461,0.0024309890873835,1.9862306775906,0.065586346867217,0.00056602256790198,0,0.022526636578685
43,0.0079511215953744,-0.022089231629385,-0.00063031511545485,0.030040353224759,8.1828375914587e-05,-0.00054848673954026,1.9704855272238,0.00029535548341005,0.46318843120814,0.080234918786232,93.796817150711,0.043701604051577,1.8183301811927,0.0023711958829908,2.0134112939583,0.06642524228533,0.00058313141968626,0,0.02283630045835
43.25,0.0066177660212438,-0.02134430334795,-0.00053544782972224,0.027962069369194,-0.00027081018032926,-0.0008062580100515,1.9956940132115,0.00029347463141528,0.46737274022309,0.080414074912788,94.463392876056,0.044867177872039,1.8432149744461,0.0023795787048268,2.041373715981,0.067903087776788,0.00057235476909121,0,0.023153918497151
43.5,0.0048691876944224,-0.020173511782177,-0.00048357538673883,0.025042699476599,-0.00061257875372989,-0.0010961541404687,2.0222549132266,0.00028802879903482,0.47172222072666,0.080510531189304,95.711616124871,0.046445473135915,1.868421677377,0.0024536665861578,2.0700451006254,0.070026486594306,0.0005525782238333,0,0.02347864229281
43.75,0.0048179650040026,-0.018580792583581,-0.0005416114060853,0.023398757587584,-0.00094675318075595,-0.0014883645868413,2.0502696763967,0.00028018242192715,0.47589877349044,0.080567667910681,97.463821225936,0.048410591535839,1.8938548641794,0.002551044139395,2.0992781825976,0.072690354080283,0.00053515231763697,0,0.023808790452302
