time,DJint,DJint_over_Jint,Jint,dt,external_work,kinetic_energy,preset_ext_work,strain_energy,tip,tip_adv,tip_cum,tip_vel
17.4,0.00012531306571246,0.040180072915197,0.0031187864187539,0.2,0.17759353259647,0.13415681002455,0.31372176078658,0.040173963164271,53.187732590207,0.21997103155199,3.4077036217594,1.0998551577599
17.6,0.00010826726146419,0.033934576401082,0.0031904703976424,0.2,0.17932106714008,0.13664455672171,0.31897181893399,0.039000289984561,53.407703621759,0.22455070574149,3.6322543275009,1.1227535287075
17.8,8.7612877296951e-05,0.026873706621544,0.0032601709369974,0.2,0.18101678132784,0.13916363244445,0.32413727069006,0.037847569463305,53.632254327501,0.22881055156035,3.8610648790612,1.1440527578017
18,7.344790714481e-05,0.022014103970725,0.0033364023011104,0.2,0.18268196065454,0.14172343814008,0.32934244764074,0.036711938961734,53.861064879061,0.2332657570539,4.0943306361151,1.1663287852695
18.2,6.6011669201749e-05,0.019301663474959,0.0034199989699017,0.2,0.1843978770017,0.14419831751362,0.33463879954367,0.035862202740538,54.094330636115,0.23792309140547,4.3322537275206,1.1896154570274
18.4,5.5435819286557e-05,0.015835275923137,0.0035007801288489,0.2,0.18604207381263,0.14665166004557,0.34005273651004,0.034709835714555,54.332253727521,0.24221224997072,4.5744659774913,1.2110612498536
18.6,3.6746392888599e-05,0.010288765547648,0.003571506486218,0.2,0.18771817646674,0.14912208213725,0.34553709696995,0.033639726845832,54.574465977491,0.24580823475549,4.8202742122468,1.2290411737775
18.8,1.8186843110063e-05,0.004997464651123,0.0036392139574166,0.2,0.18942676328559,0.15156732296402,0.35101726458586,0.032659148064428,54.820274212247,0.24911977771789,5.0693939899647,1.2455988885894
19,1.2205500999585e-05,0.0032837553413922,0.0037169337330746,0.2,0.19115294542478,0.15399312057319,0.35646720809425,0.031709448237367,55.069393989965,0.25277229233973,5.3221662823044,1.2638614616986
19.2,2.239678299787e-05,0.0058803478058056,0.003808751410207,0.2,0.19287597531587,0.1563688533368,0.36192577797899,0.030862824440554,55.322166282304,0.25689527670379,5.5790615590082,1.2844763835189
19.4,3.9956274172766e-05,0.010228771570877,0.0039062632199674,0.2,0.19460539209951,0.15868021242017,0.36744636474491,0.030080400096986,55.579061559008,0.26106172423439,5.8401232832426,1.3053086211719
19.6,4.9382127020288e-05,0.01235947786159,0.0039954865062507,0.2,0.19635927270349,0.16093988364889,0.37303139433588,0.029363846083843,55.840123283243,0.26469584935043,6.104819132593,1.3234792467521
19.8,3.5312972982811e-05,0.0086899965655334,0.0040636348606708,0.2,0.19813349551863,0.16316844630344,0.37865368538801,0.02867064472278,56.104819132593,0.26736408302242,6.3721832156154,1.3368204151121
20,-1.4770651883031e-05,-0.0036018404470363,0.004100862350853,0.2,0.19992099687025,0.16540401198708,0.38430371843728,0.027989767147816,56.372183215615,0.26878420850722,6.6409674241227,1.3439210425361
