time,DJint,DJint_over_Jint,Jint,dt,tip,tip_adv,tip_cum,tip_vel
27.2,-0.002573306846659,-0.32868333623853,0.0078291369319421,0.2,67.39553266199,0.34260380069643,17.738136462687,1.7130190034822
27.4,-0.0028004437913346,-0.35057803803027,0.0079880753713753,0.2,67.738136462687,0.34421937052624,18.082355833213,1.7210968526312
27.6,-0.0031061380734544,-0.38285338762981,0.0081131267838168,0.2,68.082355833213,0.34544599328234,18.427801826495,1.7272299664117
27.8,-0.0034955745201165,-0.42622963972226,0.0082011530741839,0.2,68.427801826495,0.34628700501008,18.774088831506,1.7314350250504
28,-0.0039372279221721,-0.47558344365822,0.0082787321019561,0.2,68.774088831506,0.34701337587852,19.121102207384,1.7350668793926
28.2,-0.0043760310768554,-0.52202138140301,0.0083828579302522,0.2,69.121102207384,0.34796717159303,19.469069378977,1.7398358579652
28.4,-0.0047604611000974,-0.55789437192924,0.0085329075531545,0.2,69.469069378977,0.34930068871002,19.818370067687,1.7465034435501
28.6,-0.0050676211023266,-0.58150839270545,0.0087146138661036,0.2,69.818370067687,0.35085406853232,20.169224136219,1.7542703426616
28.8,-0.0053092872439113,-0.59724872877659,0.0088895747920417,0.2,70.169224136219,0.35228977204894,20.521513908268,1.7614488602447
29,-0.005508139556829,-0.60993906633036,0.009030639060338,0.2,70.521513908268,0.35340681630685,20.874920724575,1.7670340815343
29.2,-0.0056703841576807,-0.61974960182003,0.0091494760803853,0.2,70.874920724575,0.35432111873882,21.229241843314,1.7716055936941
29.4,-0.0057946187118835,-0.62454181845549,0.0092781916929338,0.2,71.229241843314,0.35528500212212,21.584526845436,1.7764250106106
29.6,-0.0059009255903528,-0.62593909236681,0.0094273159518448,0.2,71.584526845436,0.35636880357183,21.940895649008,1.7818440178592
29.8,-0.0060247747688859,-0.62885871308364,0.0095804902493012,0.2,71.940895649008,0.35744691322374,22.298342562232,1.7872345661187
30,-0.0061787917863233,-0.63520428417811,0.0097272514374144,0.2,72.298342562232,0.3584480333133,22.656790595545,1.7922401665665
30.2,-0.0063465405220714,-0.64276973211317,0.0098737389223455,0.2,72.656790595545,0.35941760868132,23.016208204226,1.7970880434066
30.4,-0.0065222015513463,-0.65125481513736,0.010014822769442,0.2,73.016208204226,0.36032460436157,23.376532808588,1.8016230218078
