time,Fy,Jint,ce_integral,external_work,fracture_energy,kinetic_energy,max_disp_y,strain_energy
3.5875e-05,98.865291763977,0.029114087402716,0.14051824626209,1.3148080798752,0.10520026227862,1.1242585205032,0.015216593800655,0.11895454229819
3.6375e-05,99.303782279442,0.030709551592319,0.15098794440258,1.3541953451896,0.11021989441578,1.1610502980876,0.015761063671863,0.11813255208391
3.6875e-05,100.14455141413,0.032281122402659,0.15760736502489,1.3946976923858,0.11543771398612,1.1983690124152,0.01630786957703,0.11678838335502
3.7375e-05,100.85503842225,0.033425554325089,0.16801547013197,1.4353599509389,0.11969073576225,1.2364990172226,0.016849035475337,0.11480854392903
3.7875e-05,100.75210507548,0.03393700942511,0.17976668632699,1.4751755962046,0.12335889631258,1.2747819191356,0.017382138503216,0.11289279364434
3.8375e-05,99.902620141058,0.034119906834823,0.19139470252968,1.5137720999411,0.12688388742749,1.3126678364984,0.017911377716065,0.11125873920949
3.8875e-05,99.089099307561,0.034566395261645,0.20764473424512,1.5515647321671,0.13051968341407,1.3505504665788,0.018444704829744,0.10933295832318
3.9375e-05,98.968124050118,0.035673057977588,0.2236837493994,1.5893740430836,0.1341367330673,1.3894011328535,0.018988835304433,0.10641312474689
3.9875e-05,99.507067327733,0.037421621050512,0.24545353676145,1.6279268969507,0.13759148287589,1.4294775552399,0.019545312382445,0.10272148890729
4.0125e-05,100.00033409001,0.03845867170591,0.25830949802187,1.6475529865495,0.13954105620489,1.460667324226,0.019827358252774,0.10072720464279
4.0625e-05,100.42619021867,0.040480109751067,0.28374256713383,1.6875496398948,0.14353594908569,1.490500984083,0.020392791233458,0.096639614619693
4.1125e-05,100.35093484513,0.042046363136833,0.31109274236293,1.7278548428505,0.14781750080723,1.5311273875905,0.020953888866986,0.09222725905999
4.1625e-05,99.450336038718,0.042867292425244,0.33744979767528,1.7677521597377,0.15225044190381,1.5718807444852,0.021506036127566,0.08761473965846
4.2125e-05,97.874339372092,0.043119410637733,0.36560809816664,1.8069458441803,0.15649598889109,1.6127459929434,0.022051208759302,0.083425249298305
4.2625e-05,96.172243279085,0.043379890631785,0.39358465277268,1.8458817905908,0.16038368603982,1.653723110149,0.022597984304861,0.080244085754758
4.3125e-05,94.941638889825,0.044160720175993,0.42614347345849,1.8856181062901,0.16382665052342,1.694990869548,0.02315778941367,0.078509957257985
4.3625e-05,94.319546306856,0.045480871776741,0.45527124253451,1.9272966653464,0.16700124832756,1.7368709921849,0.023739765182112,0.078072420965753
4.4125e-05,93.940643054809,0.046944558062046,0.48699231469589,1.971558235469,0.17014685064679,1.7800736146344,0.024347444398643,0.078354009760385
4.4625e-05,93.467475006906,0.048244964685193,0.51333241885075,2.0184213709361,0.17369276577717,1.8255390745213,0.024978796581838,0.078557582874586
4.5125e-05,93.056799775638,0.049511384362563,0.54028869243116,2.0677053418345,0.17767999225709,1.8737383336004,0.025628481436579,0.078815687673491
4.5375e-05,92.990494478082,0.050242846160531,0.55511878143737,2.093255702307,0.17972030801253,1.9117350908269,0.025958463004756,0.079307856189214
4.5875e-05,93.687661533716,0.052192639219844,0.57710233895444,2.1463848902789,0.18353261439946,1.9497217355618,0.026623087133223,0.081681619566424
4.6375e-05,95.372245203979,0.054779248432879,0.60263548266053,2.2024984755366,0.18722498063522,2.0014260345281,0.027287844807007,0.086007145206922
4.6875e-05,97.705285319944,0.057714656275733,0.629421715497,2.2615381849074,0.19076683984421,2.0534759126579,0.02794417870529,0.091680412911581
4.7125e-05,99.300212248743,0.059182870653431,0.64352114676723,2.291915211955,0.19255733238545,2.0932192455792,0.028266871445995,0.09463527385319
