time,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
46.5,2.3050671773786,-0.0075367877547774,0.15337810065237,0.053413930481346,95.712857559285,0.055947473103076,2.0989297351897,0.010889713221448,2.35857822987,0.093567865702594,0.0023326076882772,0.02741087647865,0.11605657038529,2.5860188997559
46.75,2.333320517111,-0.0076223068462546,0.15504509600157,0.053521925904296,97.471759830958,0.057471747524942,2.125655035165,0.011067367654864,2.3873690558004,0.09415673113188,0.002320606188964,0.027711020234483,0.1168996163862,2.6151384231023
47,2.3625135636959,-0.0077184995136775,0.15673721924036,0.05362402182873,99.398385472884,0.059066026912678,2.1525765907863,0.011327016614503,2.4162383396987,0.094709384721289,0.0022961270067376,0.028013121822204,0.11711632554767,2.6443904158441
47.25,2.3922605039198,-0.00785006626113,0.1584535782825,0.053721613413624,100.83224921681,0.060386570496043,2.1797117052431,0.011584593689368,2.4450328953322,0.094916325594894,0.0022781699268432,0.028316983121444,0.11679417261386,2.6736292281142
47.5,2.4220295866937,-0.0079982036729355,0.1601959829958,0.053820293937245,101.08924114951,0.060997872031331,2.2072668938059,0.011919129920916,2.4736676097915,0.094599002090755,0.0022421880790363,0.028622103923369,0.11624974432803,2.702759717732
47.75,2.4513934333182,-0.0081324786838967,0.16195858398195,0.053920578466263,99.962618858706,0.060789794605983,2.2351860650665,0.012273758907154,2.5021969313164,0.093870873629903,0.0022275148120054,0.028927808006909,0.1160887298357,2.7318020270024
48,2.4802693073167,-0.0082623261498765,0.16372955502749,0.054021802155259,98.101128552782,0.060245903864215,2.263371890144,0.012626092080289,2.5307883571375,0.09294319614522,0.0022325809723491,0.029233290516996,0.11673143885699,2.760904548089
48.25,2.5089573856222,-0.0084193339674819,0.1655010419448,0.054125633837073,96.658799272025,0.060111244131129,2.29186049697,0.013021472926515,2.5595837652366,0.091968297852933,0.0022191559388431,0.029537607477763,0.11808436800675,2.790256523947
48.5,2.5379209233318,-0.0085935133522259,0.16726604136566,0.054228387134435,96.403516381049,0.060743651122941,2.3205871137893,0.013351083098686,2.5886920143922,0.091106066728029,0.0022055241874022,0.029839681081984,0.11963749597858,2.8199717569452
48.75,2.5674758850983,-0.0087409338776749,0.16903077403475,0.054325613028606,97.176892602186,0.061866705182506,2.3494939654152,0.013564554302726,2.6181026917638,0.090403320351028,0.0021756009863931,0.030138413977274,0.12088773808115,2.8500374112026
49,2.59763072975,-0.0088291360338862,0.17080874909334,0.054418565539443,98.210089861673,0.062938221320099,2.3786255477021,0.013772745964131,2.6477293052944,0.08982338939314,0.0021424342326565,0.030432956445262,0.12167028953359,2.8803571646545
49.25,2.6281630597306,-0.0088599544933628,0.17261350296807,0.054508946165248,98.83579105813,0.063634797367386,2.4077878086788,0.013831979450572,2.6775735767267,0.089265044688757,0.0021202861286886,0.03072306123363,0.12214482609615,2.9108340541082
49.5,2.6588134813956,-0.0088551282172819,0.17446127919229,0.054595671132724,98.865781293212,0.063975561844198,2.4371719131349,0.013923751509376,2.7075419507118,0.088560274645368,0.0020988942392226,0.031009357525382,0.12257498224288,2.9414240301506
49.75,2.6894325177785,-0.0088440514314597,0.17636486716688,0.054678193555687,98.486553624023,0.064148310286308,2.4668120804279,0.014020287624596,2.7376105128045,0.087647849072311,0.002099946727216,0.031293361626545,0.12315206541132,2.9721399111073
50,2.7200164943685,-0.0088413070735751,0.1783246516321,0.054756200021614,98.004617566416,0.064337866665529,2.4967167434858,0.014033408279501,2.767817446969,0.08649401047073,0.0021200602972318,0.031577153241123,0.12393888431884,3.0030262798236
50.25,2.7506612952921,-0.0088438734416791,0.18034651569838,0.054830124841772,97.670229455327,0.064654854236412,2.5270346841844,0.014072210758714,2.7982365888847,0.08512619895686,0.0021213802461031,0.031862829757329,0.12488484696448,3.034129246234
50.5,2.7814818812754,-0.0088485290481886,0.18242314143369,0.054901518387166,97.582999890463,0.065110460070833,2.5576078767616,0.014072146144266,2.8289554362413,0.083775201405752,0.0021305885696589,0.032151988425428,0.12588242411752,3.0654751551193
50.75,2.812538158572,-0.0088505140729895,0.18453947032119,0.054969223702203,97.67931258012,0.06563610755479,2.5882553612503,0.01399799974056,2.8598956008484,0.08258542175636,0.0021507722859742,0.032445475348385,0.12684256039067,3.0970657781828
51,2.8438105776932,-0.0088506814718658,0.18667832313169,0.055034580169379,97.809920918862,0.066145930839609,2.618951678356,0.013906185300621,2.8910498490007,0.081587423267986,0.0021773967958942,0.032743477453617,0.1277400779234,3.1288886079721
51.25,2.8752284710112,-0.0088598091599572,0.18881817119426,0.055100207496861,97.830866527282,0.066573389989159,2.6497164256544,0.013785433105246,2.9224756154359,0.080679670651022,0.0021872686330894,0.033045828951332,0.12861167168548,3.1609325766732
51.5,2.9067080023844,-0.0088896867889481,0.19094942946021,0.055165582446314,97.645775598985,0.066870077503131,2.6806563337219,0.013691538682587,2.9542110136716,0.079820111627951,0.0021987466085769,0.033352302914376,0.12953731077235,3.1932011994804
51.75,2.938188719505,-0.0089363662458965,0.1930582400294,0.055232055624788,97.235800607036,0.067028942812609,2.7118542084789,0.013719292362412,2.9861979970636,0.079018666547065,0.002187132569323,0.033662728712899,0.13061557183899,3.2257203098068
52,2.9696676576123,-0.0089859224292987,0.19513614791456,0.055301011271651,96.682698310861,0.067112401299432,2.7431773210272,0.013797419359088,3.0184923976716,0.078382226457844,0.0021941994132624,0.033976949970995,0.1319193742919,3.2585371780732
52.25,3.0011978670314,-0.0090288862385208,0.19717817015626,0.055371032144273,96.111048760115,0.067199943629847,2.7747008025056,0.013983794786085,3.0512968002102,0.077872794737621,0.0022032539418648,0.034294768969893,0.13346215177768,3.2917098688319
52.5,3.0328400200058,-0.0090682312835187,0.19918156305006,0.055440846059357,95.574314778275,0.067299507699908,2.80662553957,0.014347332536226,3.0845407079751,0.077409353611,0.0022187371686044,0.034616007982605,0.13522265957395,3.3252954702508
52.75,3.0646229175528,-0.0091213079217523,0.20116975698941,0.055509934020375,95.044098503791,0.067369626371384,2.8390325721433,0.014804144361953,3.1182825618812,0.076904989013148,0.0022573748243747,0.034940678771964,0.1371965282763,3.3593478687321
53,3.0965797760462,-0.0092105961368494,0.20317403555608,0.055578583135766,94.540544283474,0.067444746600277,2.8718864877823,0.015246725499029,3.1525833621805,0.076416751145611,0.0023267891201924,0.035269113946733,0.13938917985741,3.3939210822488
