time,DJ1,DJ2,DJint,EW,FE,Fy,J,KE,PEW,SE,max_disp_y
9.5,0.00012665255047543,0.0020288871603161,0.0021555397107916,0.20281030025816,0.0070045346399342,99.254955877894,0.0019243728341216,0.095124671004186,0.20291871716422,0.10523924804085,0.0010832073470176
9.75,0.00013314648833851,0.002129152189605,0.0022622986779435,0.20816393928443,0.0078965418077026,98.5454369083,0.002035019329777,0.097252163027357,0.20831550521498,0.10840087916845,0.0011130074327576
10,0.00013423256359252,0.002208098144806,0.0023423307083985,0.21342138707861,0.0088431567804473,97.395026158681,0.0021422317086834,0.099393657954081,0.2137049906844,0.11149388698599,0.0011444022421231
10.25,0.00012865150385599,0.002274821762866,0.002403473266722,0.21850483097803,0.0098933354888344,95.748312679007,0.002245834758009,0.1016584967797,0.21908788830738,0.11434329366335,0.0011792480568825
10.5,0.0001156930285918,0.002339663926434,0.0024553569550258,0.22328597607247,0.011048444053762,93.692316997072,0.002345424681354,0.10427468250853,0.22446863053782,0.11664509071639,0.0012198640914919
10.75,9.9635033403037e-05,0.0023908198614873,0.0024904548948903,0.22761295588741,0.012301587927765,91.621956920536,0.002441236632118,0.10763380600764,0.22986204648353,0.11793510144619,0.001268901158824
11,8.980602367699e-05,0.0024132004308555,0.0025030064545325,0.23142173678039,0.013676925129171,90.318107338176,0.002539597426821,0.11218931168723,0.23529250265946,0.11782926241046,0.0013290809741263
11.25,9.4590329473265e-05,0.0024060464981132,0.0025006368275865,0.23491302811468,0.015210199847254,90.716180678937,0.002653356699536,0.11811882161933,0.24077517732574,0.11641947685777,0.0014022515953349
11.5,0.00011606080044445,0.0023885780291041,0.0025046388295486,0.23863471265334,0.016909698853488,93.369080120415,0.0027910690149417,0.12498130507926,0.24628693494624,0.11447781339036,0.0014880261711217
11.75,0.00015069649724892,0.0023637652039,0.0025144617011489,0.243241773162,0.018805554173997,97.886241727258,0.0029469848378889,0.13184432704568,0.25175104141181,0.11291808574901,0.0015830419915793
12,0.00019195382716663,0.0022391930464242,0.0024311468735909,0.24897316722948,0.020976457166192,102.74936456621,0.0031051592988661,0.13806024559593,0.25705959413452,0.11184279410278,0.0016816202950311
12.25,0.00022319585115688,0.0019539942041258,0.0021771900552827,0.25534967100184,0.023155833281031,105.83265771152,0.0032460030732201,0.14388654088822,0.26213679089131,0.11056559410365,0.0017777297603087
12.5,0.00021553100873986,0.0017961660570021,0.002011697065742,0.26153769735837,0.025254598343235,105.60221111639,0.0033467552323111,0.1500728079594,0.2670107876479,0.10843976097105,0.0018674217959145
12.75,0.00015414121876745,0.0019921919139673,0.0021463331327348,0.26702736729426,0.027385671293762,102.33033859256,0.003396363994558,0.15683996371887,0.2718335046378,0.10582582816267,0.0019504847632907
13,6.699397869362e-05,0.0020905541346039,0.0021575481132975,0.27187011613056,0.029630099508939,98.257991265196,0.0034205291876861,0.16372265207211,0.27680392085467,0.10348472204566,0.0020301302758007
13.25,1.2763264466569e-05,0.0019292144194322,0.0019419776838988,0.27642512672079,0.032002020810304,96.189510372765,0.0034762128260725,0.17042438250095,0.28202493944489,0.10152461452376,0.0021105647433483
13.5,3.3390984263979e-05,0.0017394284262763,0.0017728194105403,0.28109649773545,0.034454392476869,97.373374684732,0.0036052608184553,0.17712363458717,0.28740406378646,0.099577731223609,0.0021939988876688
13.75,0.00011509457037169,0.0016827126263303,0.001797807196702,0.28612732789427,0.036976814514306,100.45890606148,0.0037931339837249,0.18394304618006,0.29270383086174,0.097460435680582,0.0022794001801782
14,0.00019284832989062,0.0017399054278623,0.0019327537577529,0.29140838527261,0.039595818052101,102.64484152654,0.003976612390475,0.19073415087806,0.2977292467223,0.095165795416917,0.0023639245503171
14.25,0.00020367356254986,0.0017126901674468,0.0019163637299967,0.29660884364524,0.042320938240581,102.16690191502,0.0040961944494459,0.19741839604978,0.30249893597172,0.092674583092229,0.0024455681151839
14.5,0.00014774851092737,0.0014852295801999,0.0016329780911272,0.30156834404238,0.045126548605986,99.837987722069,0.0041513882439801,0.20406763663635,0.30723340941233,0.090135529098811,0.0025246070787167
14.75,9.0134991827826e-05,0.0012484511835123,0.0013385861753401,0.30643919908683,0.047977317342435,98.102144263888,0.0042046534899014,0.21069161995124,0.31215435969389,0.087826540637547,0.0026028336706092
15,9.3203308711627e-05,0.0011823983553471,0.0012756016640587,0.31145841722621,0.050814277845503,98.524399958866,0.0043196603086428,0.2172369826315,0.31728169357348,0.085818619325855,0.0026818006313926
15.25,0.00014951542526806,0.0011964340592487,0.0013459494845167,0.3166690410427,0.053556603557684,100.31049809137,0.0044936796153876,0.22370456355915,0.32243120138001,0.083904172237158,0.0027619122403455
