time,Fx,external_work,fracture_energy,kinetic_energy,max_d,max_disp_x,nucleation_energy,strain_energy
4.9e-05,19950.556454186,16325.478121899,0,8926.7394615052,0,0.80025,6501.7163504134,7325.8504009781
4.95e-05,20798.518500156,16496.863755988,0,9087.9502972239,0,0.8085,6559.3536730468,7335.438215258
5e-05,21083.435515154,16670.676586972,0,9257.5890666783,0,0.81675,6607.9527623732,7339.8532242757
5.05e-05,20763.912903531,16841.97799515,0,9427.8818083784,0,0.825,6645.8921010324,7341.5608495748
5.1e-05,20205.299166499,17008.785688428,0,9595.3082195514,0,0.83325,6669.6725196774,7341.4507485107
5.15e-05,19889.683089552,17173.041591973,0,9763.593595118,0,0.8415,6688.3135814185,7337.257469882
5.2e-05,20071.478849156,17338.7679682,0,9939.2134477209,0,0.84975,6679.9347967771,7326.5507565127
5.25e-05,20622.76403334,17508.97473742,0,10126.567747618,0,0.858,6653.8178044815,7308.3947276186
5.3e-05,21170.31008302,17683.668236036,0,10325.539413704,0,0.86625,6608.029941532,7283.3717602953
5.35e-05,21405.105763276,17860.326622196,0,10530.918157436,0,0.8745,6544.5507532381,7254.281640659
5.4e-05,21317.232170641,18036.284744335,0,10736.029030155,0,0.88275,6474.123473116,7224.8813797323
5.45e-05,21178.567128595,18211.065718882,0,10938.326119394,0,0.891,6409.4854750013,7196.8507244803
5.5e-05,21306.560484082,18386.835903994,0,11140.199561104,0,0.89925,6356.1080609389,7169.7367074338
5.55e-05,21817.764564215,18566.77126516,0,11345.608285659,0,0.9075,6314.8774134218,7142.8707712047
5.6e-05,22572.780783662,18752.900336129,0,11557.758405989,0,0.91575,6286.1771912872,7115.414993778
5.65e-05,23336.514029504,18945.304916125,0,11777.825038657,0,0.924,6264.1226114048,7086.4943635781
5.7e-05,23990.835005031,19143.123482026,0,12003.95375716,0,0.93225,6242.3486260225,7056.9848657529
5.75e-05,24607.047460613,19346.107070636,0,12232.851557344,0,0.9405,6234.4327436084,7029.6155802377
5.8e-05,25330.716966365,19555.166028898,0,12463.066570033,0,0.94875,6238.8792097411,7006.560244271
5.85e-05,26206.803352943,19771.505089035,0,12695.920262841,0,0.957,6247.119680144,6987.8303012176
5.9e-05,27113.866986667,19995.288849079,0,12933.411623984,0,0.96525,6256.6063083234,6971.9404730906
5.95e-05,27856.461040948,20225.094917313,0,13176.013958514,0,0.9735,6254.9454101389,6957.3031962187
6e-05,28313.879226327,20458.569240891,0,13422.456206541,0,0.98175,6236.1571474954,6942.9086617157
6.05e-05,28507.225109346,20693.592938843,0,13670.747437198,0,0.99,6216.3176661698,6928.4842912067
6.1e-05,28543.568339654,20928.946774151,0,13919.11033786,0,0.99825,6209.5228417198,6914.4098831596
6.15e-05,28513.183074258,21164.120006104,0,14167.039987943,0,1.0065,6208.7800218936,6900.6237012552
6.2e-05,28438.759721418,21398.744633264,0,14416.199707988,0,1.01475,6211.2314629329,6885.1451718584
6.25e-05,28301.293748857,21632.278153402,0,14669.503422543,0,1.023,6213.4855867972,6864.5729857504
6.3e-05,28089.586601676,21864.073023877,0,14928.673402926,0,1.03125,6214.7689911681,6836.5696387432
6.35e-05,27816.580631261,22093.567447427,0,15192.689302398,0,1.0395,6214.5532369141,6801.6400633627
6.4e-05,27500.434891038,22320.358889787,0,15458.125865845,0,1.04775,6216.9442466423,6762.8569111251
6.45e-05,27147.535903793,22544.156076354,0,15720.671474577,0,1.056,6222.0140182862,6724.230737584
6.5e-05,26759.07642308,22764.73865833,0,15977.376252508,0,1.06425,6229.6490574753,6688.3879818625
6.55e-05,26344.585318627,22981.975491689,0,16228.814191261,0,1.0725,6235.6832459325,6654.4653847259
6.6e-05,25917.037125262,23195.799554415,0,16479.117029783,0,1.08075,6235.4431176655,6618.1344528482
6.65e-05,25471.512404937,23406.046509219,0,16732.864296301,0,1.089,6223.648900146,6574.6184662311
6.7e-05,24973.725710346,23612.236856333,0,16990.983804847,0,1.09725,6196.3301369967,6522.5831923205
6.75e-05,24375.684904711,23813.492650297,0,17249.281501017,0,1.1055,6154.7093069216,6465.4777983015
6.8e-05,23646.648497467,24008.697720603,0,17501.091121201,0,1.11375,6104.6483380797,6408.9765935913
6.85e-05,22793.034239714,24196.812884089,0,17741.838255432,0,1.122,6054.73251251,6356.6743959726
6.9e-05,21853.733943343,24377.138239762,0,17971.447790836,0,1.13025,6006.9025166281,6307.9300815003
6.95e-05,20878.8343389,24549.390143687,0,18192.661210597,0,1.1385,5959.797607084,6259.6576551731
7e-05,19908.100646694,24713.611415991,0,18407.764275235,0,1.14675,5915.7674462103,6209.5468598335
7.05e-05,18959.430754819,24869.99607833,0,18617.411930677,0,1.155,5872.8113608572,6157.0791769458
7.1e-05,18029.382481528,25018.711797477,0,18821.416011451,0,1.16325,5829.0639162412,6102.5582214393
7.15e-05,17104.134256408,25159.807828683,0,19018.982580732,0,1.1715,5786.1812340068,6046.7795518559
7.2e-05,16175.969401097,25293.262152741,0,19208.722578855,0,1.17975,5747.3170262649,5991.0819508334
7.25e-05,15255.832866032,25419.134336614,0,19390.3155784,0,1.188,5704.0600916674,5935.8406576237
7.3e-05,14372.774173426,25537.717777084,0,19566.09919915,0,1.19625,5643.0630370403,5879.0094923623
7.35e-05,13560.169428839,25649.585503995,0,19739.40000928,0,1.2045,5558.5771527596,5817.8268129232
7.4e-05,12839.565750826,25755.500434089,0,19911.179261479,0,1.21275,5452.61385966,5752.0973761423
7.45e-05,12214.732048583,25856.261364702,0,20079.403603018,0,1.221,5340.9591717735,5684.6687091407
7.5e-05,11679.349848159,25952.604891699,0,20241.4210803,0,1.22925,5225.1752536094,5618.9316984776
7.55e-05,11231.258083992,26045.240861034,0,20395.952169554,0,1.2375,5108.4301976288,5556.8567273458
