time,Jint,Jint_box,Jint_box_over_Gc,Jint_over_Gc,bot_react,external_work,fracture_energy,strain_energy,top_react
35.5,0.0001753708158005,8.1222267702718e-05,0.027074089234239,0.058456938600166,109.89934343524,0.12080477594863,0.03121611155633,0.11426085453162,-109.89934343524
36,0.000178205390309,8.6365260929038e-05,0.028788420309679,0.059401796769667,112.80296382121,0.12688333838439,0.031219564996077,0.12024725948177,-112.80296382121
36.5,0.00018107908997452,9.1702757432137e-05,0.030567585810712,0.060359696658172,115.75466640483,0.13315431526059,0.03122318706719,0.12642438991758,-115.75466640483
37,0.00018398423462708,9.7227258202757e-05,0.032409086067586,0.061328078209025,118.75383253594,0.13961822330704,0.031226975740764,0.13279280781652,-118.75383253594
37.5,0.00018691473232148,0.00010293265094994,0.034310883649982,0.062304910773826,121.79985338791,0.14627553649907,0.031230933357489,0.1393530257097,-121.79985338791
38,0.00018986098329081,0.00010880914418863,0.036269714729543,0.06328699443027,124.89212952234,0.15312668887193,0.031235050811996,0.14610551043283,-124.89212952234
38.5,0.00019281478759677,0.00011484799568623,0.038282665228744,0.064271595865592,128.030082452,0.16017207854529,0.031239323302933,0.15305070304837,-128.030082452
39,0.00019576751196114,0.0001210396356421,0.040346545214035,0.06525583732038,131.21314224893,0.16741207040363,0.031243756842414,0.16018900555043,-131.21314224893
39.5,0.0001987093342602,0.00012737291194233,0.042457637314111,0.066236444753399,134.44074340939,0.17484699808562,0.031248583684014,0.16752077662181,-134.44074340939
40,0.00020177297047814,0.0001339811609006,0.044660386966865,0.067257656826046,137.71222792862,0.18247716058012,0.031253771507719,0.17504611035362,-137.71222792862
40.5,0.00020489349352897,0.00014079644084504,0.046932146948345,0.068297831176323,141.02706932499,0.19030283158355,0.031259244933522,0.18276533964426,-141.02706932499
41,0.00020799915505542,0.00014774351607493,0.049247838691645,0.06933305168514,144.38477492592,0.19832426274136,0.031264996990366,0.1906788208392,-144.38477492592
41.5,0.00021106992433937,0.00015479864034447,0.051599546781489,0.070356641446456,147.78482694103,0.20654168322201,0.031271021701673,0.19878681709112,-147.78482694103
42,0.00021409803732446,0.00016195009197588,0.053983363991961,0.071366012441485,151.22671754644,0.21495530138103,0.031277308624658,0.20708956811064,-151.22671754644
42.5,0.00021707958016876,0.00016918967990053,0.056396559966843,0.072359860056254,154.70995157384,0.22356530647713,0.031283860725248,0.21558729861745,-154.70995157384
43,0.00022001087489551,0.00017650914074275,0.058836380247583,0.073336958298504,158.23403436368,0.23237186939103,0.031290668983885,0.22428020003491,-158.23403436368
43.5,0.00022289054268958,0.00018390213524323,0.061300711747743,0.074296847563193,161.79848623188,0.24137514427205,0.031297717643602,0.23316845860217,-161.79848623188
44,0.00022571875311181,0.00019136353665858,0.063787845552861,0.075239584370604,165.40283923165,0.25057526984274,0.031305014113893,0.24225225108346,-165.40283923165
44.5,0.00022849465471005,0.0001988869399548,0.066295646651599,0.076164884903351,169.04662011264,0.25997236946816,0.031312549426048,0.25153171477036,-169.04662011264
45,0.00023121973497303,0.00020646791536252,0.068822638454174,0.07707324499101,172.72937093682,0.26956655253045,0.031320314707125,0.2610069887215,-172.72937093682
45.5,0.00023389632376044,0.00021410259684621,0.071367532282071,0.07796544125348,176.45064039834,0.27935791514766,0.03132832168333,0.27067819815029,-176.45064039834
46,0.00023652589774684,0.00022178606285889,0.073928687619629,0.078841965915614,180.20997269391,0.28934654012497,0.031336555212557,0.2805454332999,-180.20997269391
46.5,0.00023911280782075,0.00022951594166049,0.07650531388683,0.079704269273584,184.00693169219,0.29953249838938,0.031345000123326,0.29060879917616,-184.00693169219
47,0.00024166218505125,0.00023729039748996,0.07909679916332,0.080554061683751,187.84108636876,0.30991584940349,0.031353634106761,0.30086838880616,-187.84108636876
47.5,0.00024417982820539,0.00024510803842647,0.081702679475489,0.081393276068465,191.7120143769,0.32049664176009,0.031362447827546,0.31132429117802,-191.7120143769
48,0.0002466713819113,0.00025296711905517,0.08432237301839,0.082223793970433,195.61929135117,0.33127491307391,0.031371510436598,0.32197657062545,-195.61929135117
48.5,0.00024914461236891,0.00026086899543731,0.086956331812436,0.083048204122969,199.56246442811,0.3422506885801,0.031381068550111,0.33282519983478,-199.56246442811
49,0.00025162576493737,0.00026883576992045,0.089611923306816,0.083875254979123,203.54101652171,0.35342397834332,0.031391158150072,0.34386995508339,-203.54101652171
49.5,0.00025428886996558,0.0002770282826391,0.092342760879701,0.084762956655194,207.55451811892,0.3647947814446,0.031401660410779,0.35511081443651,-207.55451811892
50,0.00025704852452787,0.00028535296266398,0.095117654221328,0.08568284150929,211.60260142743,0.37636308869155,0.031412509651895,0.3665479038492,-211.60260142743
