"bounds_dummy","d","disp_x","GlobalElementId","K","ObjectId","PedigreeElementId","ce","delta","psie_active","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.0284,285,3.3333,0,285,15.144,4.1452,0.2,1,0.142,0.142,0,0
0,0,0.0286,287,3.3333,0,287,15.144,4.1452,0.2,1,0.143,0.143,0,0
0,0,0.0288,289,3.3333,0,289,15.144,4.1452,0.2,1,0.144,0.144,0,0
0,0,0.029,291,3.3333,0,291,15.144,4.1452,0.2,1,0.145,0.145,0,0
0,0,0.0292,293,3.3333,0,293,15.144,4.1452,0.2,1,0.146,0.146,0,0
0,0,0.0294,295,3.3333,0,295,15.144,4.1452,0.2,1,0.147,0.147,0,0
0,0,0.0296,297,3.3333,0,297,15.144,4.1452,0.2,1,0.148,0.148,0,0
0,0,0.0298,299,3.3333,0,299,15.144,4.1452,0.2,1,0.149,0.149,0,0
0,0,0.03,301,3.3333,0,301,15.144,4.1452,0.2,1,0.15,0.15,0,0
0,0,0.0302,303,3.3333,0,303,15.144,4.1452,0.2,1,0.151,0.151,0,0
0,0,0.0304,305,3.3333,0,305,15.144,4.1452,0.2,1,0.152,0.152,0,0
0,0,0.0306,307,3.3333,0,307,15.144,4.1452,0.2,1,0.153,0.153,0,0
0,0,0.0308,309,3.3333,0,309,15.144,4.1452,0.2,1,0.154,0.154,0,0
0,0,0.031,311,3.3333,0,311,15.144,4.1452,0.2,1,0.155,0.155,0,0
0,0,0.0312,313,3.3333,0,313,15.144,4.1452,0.2,1,0.156,0.156,0,0
0,0,0.0314,315,3.3333,0,315,15.144,4.1452,0.2,1,0.157,0.157,0,0
0,0,0.0316,317,3.3333,0,317,15.144,4.1452,0.2,1,0.158,0.158,0,0
0,0,0.0318,319,3.3333,0,319,15.144,4.1452,0.2,1,0.159,0.159,0,0
0,0,0.032,321,3.3333,0,321,15.144,4.1452,0.2,1,0.16,0.16,0,0
0,0,0.0322,323,3.3333,0,323,15.144,4.1452,0.2,1,0.161,0.161,0,0
0,0,0.0324,325,3.3333,0,325,15.144,4.1452,0.2,1,0.162,0.162,0,0
0,0,0.0326,327,3.3333,0,327,15.144,4.1452,0.2,1,0.163,0.163,0,0
0,0,0.0328,329,3.3333,0,329,15.144,4.1452,0.2,1,0.164,0.164,0,0
0,0,0.033,331,3.3333,0,331,15.144,4.1452,0.2,1,0.165,0.165,0,0
0,0,0.0332,333,3.3333,0,333,15.144,4.1452,0.2,1,0.166,0.166,0,0
0,0,0.0334,335,3.3333,0,335,15.144,4.1452,0.2,1,0.167,0.167,0,0
0,0,0.0336,337,3.3333,0,337,15.144,4.1452,0.2,1,0.168,0.168,0,0
0,0,0.0338,339,3.3333,0,339,15.144,4.1452,0.2,1,0.169,0.169,0,0
0,0,0.034,341,3.3333,0,341,15.144,4.1452,0.2,1,0.17,0.17,0,0
0,0,0.0342,343,3.3333,0,343,15.144,4.1452,0.2,1,0.171,0.171,0,0
0,0,0.0344,345,3.3333,0,345,15.144,4.1452,0.2,1,0.172,0.172,0,0
0,0,0.0346,347,3.3333,0,347,15.144,4.1452,0.2,1,0.173,0.173,0,0
0,0,0.0348,349,3.3333,0,349,15.144,4.1452,0.2,1,0.174,0.174,0,0
0,0,0.035,351,3.3333,0,351,15.144,4.1452,0.2,1,0.175,0.175,0,0
0,0,0.0352,353,3.3333,0,353,15.144,4.1452,0.2,1,0.176,0.176,0,0
0,0,0.0354,355,3.3333,0,355,15.144,4.1452,0.2,1,0.177,0.177,0,0
0,0,0.0356,357,3.3333,0,357,15.144,4.1452,0.2,1,0.178,0.178,0,0
0,0,0.0358,359,3.3333,0,359,15.144,4.1452,0.2,1,0.179,0.179,0,0
0,0,0.036,361,3.3333,0,361,15.144,4.1452,0.2,1,0.18,0.18,0,0
0,0,0.0362,363,3.3333,0,363,15.144,4.1452,0.2,1,0.181,0.181,0,0
0,0,0.0364,365,3.3333,0,365,15.144,4.1452,0.2,1,0.182,0.182,0,0
0,0,0.0366,367,3.3333,0,367,15.144,4.1452,0.2,1,0.183,0.183,0,0
0,0,0.0368,369,3.3333,0,369,15.144,4.1452,0.2,1,0.184,0.184,0,0
0,0,0.037,371,3.3333,0,371,15.144,4.1452,0.2,1,0.185,0.185,0,0
0,0,0.0372,373,3.3333,0,373,15.144,4.1452,0.2,1,0.186,0.186,0,0
0,0,0.0374,375,3.3333,0,375,15.144,4.1452,0.2,1,0.187,0.187,0,0
0,0,0.0376,377,3.3333,0,377,15.144,4.1452,0.2,1,0.188,0.188,0,0
0,0,0.0378,379,3.3333,0,379,15.144,4.1452,0.2,1,0.189,0.189,0,0
0,0,0.038,381,3.3333,0,381,15.144,4.1452,0.2,1,0.19,0.19,0,0
0,0,0.0382,383,3.3333,0,383,15.144,4.1452,0.2,1,0.191,0.191,0,0
0,0,0.0384,385,3.3333,0,385,15.144,4.1452,0.2,1,0.192,0.192,0,0
0,0,0.0386,387,3.3333,0,387,15.144,4.1452,0.2,1,0.193,0.193,0,0
0,0,0.0388,389,3.3333,0,389,15.144,4.1452,0.2,1,0.194,0.194,0,0
0,0,0.039,391,3.3333,0,391,15.144,4.1452,0.2,1,0.195,0.195,0,0
0,0,0.0392,393,3.3333,0,393,15.144,4.1452,0.2,1,0.196,0.196,0,0
0,0,0.0394,395,3.3333,0,395,15.144,4.1452,0.2,1,0.197,0.197,0,0
0,0,0.0396,397,3.3333,0,397,15.144,4.1452,0.2,1,0.198,0.198,0,0
0,0,0.0398,399,3.3333,0,399,15.144,4.1452,0.2,1,0.199,0.199,0,0
0,0,0.04,401,3.3333,0,401,15.144,4.1452,0.2,1,0.2,0.2,0,0
0,0,0.0402,403,3.3333,0,403,15.144,4.1452,0.2,1,0.201,0.201,0,0
0,0,0.0404,405,3.3333,0,405,15.144,4.1452,0.2,1,0.202,0.202,0,0
0,0,0.0406,407,3.3333,0,407,15.144,4.1452,0.2,1,0.203,0.203,0,0
0,0,0.0408,409,3.3333,0,409,15.144,4.1452,0.2,1,0.204,0.204,0,0
0,0,0.041,411,3.3333,0,411,15.144,4.1452,0.2,1,0.205,0.205,0,0
0,0,0.0412,413,3.3333,0,413,15.144,4.1452,0.2,1,0.206,0.206,0,0
0,0,0.0414,415,3.3333,0,415,15.144,4.1452,0.2,1,0.207,0.207,0,0
0,0,0.0416,417,3.3333,0,417,15.144,4.1452,0.2,1,0.208,0.208,0,0
0,0,0.0418,419,3.3333,0,419,15.144,4.1452,0.2,1,0.209,0.209,0,0
0,0,0.042,421,3.3333,0,421,15.144,4.1452,0.2,1,0.21,0.21,0,0
0,0,0.0422,423,3.3333,0,423,15.144,4.1452,0.2,1,0.211,0.211,0,0
0,0,0.0424,425,3.3333,0,425,15.144,4.1452,0.2,1,0.212,0.212,0,0
0,0,0.0426,427,3.3333,0,427,15.144,4.1452,0.2,1,0.213,0.213,0,0
0,0,0.0428,429,3.3333,0,429,15.144,4.1452,0.2,1,0.214,0.214,0,0
