time,max_disp_z,min_disp_z
1.9e-05,0.0006903601269817,-0.019
1.91e-05,0.00067597705607804,-0.0191
1.92e-05,0.00066077643048507,-0.0192
1.93e-05,0.00064547043900397,-0.0193
1.94e-05,0.00062934580182225,-0.0194
1.95e-05,0.00061236151039801,-0.0195
1.96e-05,0.00059451350493602,-0.0196
1.97e-05,0.00057581739618138,-0.0197
1.98e-05,0.00055631011375259,-0.0198
1.99e-05,0.00053604647237577,-0.0199
2e-05,0.00051510644358652,-0.02
2.01e-05,0.00049417154217215,-0.0201
2.02e-05,0.00047253529380051,-0.0202
2.03e-05,0.00045013031602462,-0.0203
2.04e-05,0.00042690454029202,-0.0204
2.05e-05,0.00040283767709748,-0.0205
2.06e-05,0.00037795109547614,-0.0206
2.07e-05,0.00035251385707227,-0.0207
2.08e-05,0.00032707157613114,-0.0208
2.09e-05,0.00030103725892649,-0.0209
2.1e-05,0.00027440882817392,-0.021
2.11e-05,0.00024719506734109,-0.0211
2.12e-05,0.00021941736188382,-0.0212
2.13e-05,0.00019111127981371,-0.0213
2.14e-05,0.00016232688770357,-0.0214
2.15e-05,0.00013324947231769,-0.0215
2.16e-05,0.00010386939819611,-0.0216
2.17e-05,7.4070470734097e-05,-0.0217
2.18e-05,4.4113129638262e-05,-0.0218
2.19e-05,1.4288220346533e-05,-0.0219
2.2e-05,-1.5999121023126e-05,-0.022
2.21e-05,-4.6801221837487e-05,-0.0221
2.22e-05,-7.8151101659463e-05,-0.0222
2.23e-05,-0.00011005193298077,-0.0223
2.24e-05,-0.00014213024674632,-0.0224
2.25e-05,-0.00017421207000618,-0.0225
2.26e-05,-0.00020681089559964,-0.0226
2.27e-05,-0.00023987910859165,-0.0227
2.28e-05,-0.00027332253240419,-0.0228
2.29e-05,-0.0003068334055315,-0.0229
2.3e-05,-0.00033999263187171,-0.023
2.31e-05,-0.00037333775611767,-0.0231
2.32e-05,-0.00040691911602068,-0.0232
2.33e-05,-0.00044079186090075,-0.0233
2.34e-05,-0.0004749981002654,-0.0234
2.35e-05,-0.00050955220334582,-0.0235
2.36e-05,-0.00054361236678409,-0.0236
2.37e-05,-0.00057815781504398,-0.0237
2.38e-05,-0.00061323629447174,-0.0238
2.39e-05,-0.00064876690902936,-0.0239
2.4e-05,-0.00068416017547267,-0.024
2.41e-05,-0.00071965118370682,-0.0241
2.42e-05,-0.00075548428734185,-0.0242
2.43e-05,-0.00079165200160274,-0.0243
2.44e-05,-0.00082780050111065,-0.0244
2.45e-05,-0.00086381463445175,-0.0245
2.46e-05,-0.00090025297714368,-0.0246
2.47e-05,-0.00093706698360506,-0.0247
2.48e-05,-0.00097414060847261,-0.0248
2.49e-05,-0.0010107860562868,-0.0249
2.5e-05,-0.001047390656063,-0.025
2.51e-05,-0.0010841781744078,-0.0251
2.52e-05,-0.0011204564594214,-0.0252
2.53e-05,-0.0011571161543501,-0.0253
2.54e-05,-0.001194420167543,-0.0254
2.55e-05,-0.0012325094709618,-0.0255
2.56e-05,-0.0012713749022629,-0.0256
2.57e-05,-0.0013102663535686,-0.0257
2.58e-05,-0.00134902051419,-0.0258
2.59e-05,-0.0013879693756981,-0.0259
2.6e-05,-0.0014269682525816,-0.026
