time,tip_velocity,tip_x,tip_y,tip_z
1.99e-05,1288470.5080125,32.578125000009,0.046874999999909,0
1.995e-05,1250000.0000068,32.64062500001,0.046874999999909,0
2e-05,1682864.0022367,32.71875000001,0.01562499999997,0
2.005e-05,1250000.0000068,32.78125000001,0.01562499999997,0
2.01e-05,1288470.5080125,32.843750000011,0.03124999999994,0
2.015e-05,1250000.0000068,32.906250000011,0.03124999999994,0
2.02e-05,1288470.5080125,32.968750000012,0.046874999999909,0
2.025e-05,1250000.0000071,33.031250000012,0.046874999999909,0
2.03e-05,1682864.0022371,33.109375000012,0.01562499999997,0
2.035e-05,1288470.5080128,33.171875000013,0.03124999999994,0
2.04e-05,1250000.0000074,33.234375000013,0.03124999999994,0
2.045e-05,1288470.5080127,33.296875000013,0.046874999999909,0
2.05e-05,1250000.0000072,33.359375000014,0.046874999999909,0
2.055e-05,1682864.0022371,33.437500000014,0.01562499999997,0
2.06e-05,1288470.5080128,33.500000000015,0.03124999999994,0
2.065e-05,1288470.5080128,33.562500000015,0.046874999999909,0
2.07e-05,1250000.0000074,33.625000000015,0.046874999999909,0
2.075e-05,1682864.0022369,33.703125000016,0.01562499999997,0
2.08e-05,1288470.5080128,33.765625000016,0.03124999999994,0
2.085e-05,1288470.5080128,33.828125000017,0.046874999999909,0
2.09e-05,1250000.0000074,33.890625000017,0.046874999999909,0
2.095e-05,1593443.5980064,33.968750000017,0.03124999999994,0
2.1e-05,1288470.5080128,34.031250000018,0.046874999999909,0
2.105e-05,1250000.0000071,34.093750000018,0.046874999999909,0
2.11e-05,1682864.0022371,34.171875000019,0.01562499999997,0
2.115e-05,1288470.5080128,34.234375000019,0.03124999999994,0
2.12e-05,1288470.5080128,34.296875000019,0.046874999999909,0
2.125e-05,1682864.0022371,34.37500000002,0.01562499999997,0
2.13e-05,1288470.5080127,34.43750000002,0.03124999999994,0
2.135e-05,1288470.5080127,34.500000000021,0.046874999999909,0
2.14e-05,1682864.0022371,34.578125000021,0.01562499999997,0
2.145e-05,1288470.5080127,34.640625000021,0.03124999999994,0
2.15e-05,1288470.508013,34.703125000022,0.046874999999909,0
2.155e-05,1593443.5980061,34.781250000022,0.03124999999994,0
2.16e-05,1288470.5080128,34.843750000023,0.046874999999909,0
2.165e-05,1682864.0022371,34.921875000023,0.01562499999997,0
2.17e-05,1397542.4859439,34.984375000023,0.046874999999909,0
2.175e-05,1250000.0000064,35.046875000024,0.046874999999909,0
2.18e-05,1682864.0022354,35.125000000024,0.01562499999997,0
2.185e-05,1397542.4859429,35.187500000024,0.046874999999909,0
2.19e-05,1593443.5980046,35.265625000025,0.03124999999994,0
2.195e-05,1288470.5080114,35.328125000025,0.046874999999909,0
2.2e-05,1288470.5080114,35.390625000025,0.062499999999879,0
2.205e-05,1682864.0022354,35.468750000026,0.03124999999994,0
2.21e-05,1397542.4859428,35.531250000026,0.062499999999879,0
2.215e-05,1682864.0022353,35.609375000026,0.03124999999994,0
2.22e-05,1397542.4859429,35.671875000027,0.062499999999879,0
2.225e-05,1822172.4671438,35.750000000027,0.01562499999997,0
2.23e-05,1397542.4859429,35.812500000027,0.046874999999909,0
2.235e-05,1593443.5980046,35.890625000028,0.03124999999994,0
2.24e-05,1397542.4859427,35.953125000028,0.062499999999879,0
2.245e-05,1593443.5980007,36.031250000028,0.046874999999909,0
2.25e-05,1288470.508004,36.093750000028,0.062499999999879,0
2.255e-05,1682864.002226,36.171875000028,0.03124999999994,0
2.26e-05,1397542.4859359,36.234375000028,0.062499999999879,0
2.265e-05,1593443.5979948,36.312500000028,0.046874999999909,0
2.27e-05,1682864.002226,36.390625000028,0.01562499999997,0
2.275e-05,1397542.4859358,36.453125000028,0.046874999999909,0
2.28e-05,1682864.002226,36.531250000027,0.01562499999997,0
2.285e-05,1397542.4859358,36.593750000027,0.046874999999909,0
2.29e-05,1397542.4859358,36.656250000027,0.078124999999849,0
2.295e-05,1682864.0022262,36.734375000027,0.046874999999909,0
2.3e-05,1593443.5979948,36.812500000027,0.03124999999994,0
2.305e-05,1397542.4859358,36.875000000027,0.062499999999879,0
2.31e-05,1593443.5979948,36.953125000027,0.046874999999909,0
2.315e-05,1682864.0022246,37.031250000027,0.01562499999997,0
2.32e-05,1562499.9999961,37.093750000026,0.062499999999879,0
2.325e-05,1822172.467132,37.171875000026,0.01562499999997,0
2.33e-05,1562499.999996,37.234375000026,0.062499999999879,0
2.335e-05,1593443.5979914,37.312500000026,0.046874999999909,0
2.34e-05,1593443.5979914,37.390625000025,0.03124999999994,0
2.345e-05,1397542.4859333,37.453125000025,0.062499999999879,0
2.35e-05,1593443.5979914,37.531250000025,0.046874999999909,0
2.355e-05,1397542.4859333,37.593750000024,0.078124999999849,0
2.36e-05,1682864.0022226,37.671875000024,0.046874999999909,0
2.365e-05,1593443.5979914,37.750000000024,0.03124999999994,0
2.37e-05,1562499.9999962,37.812500000024,0.078124999999849,0
2.375e-05,1593443.5979914,37.890625000023,0.062499999999879,0
2.38e-05,1593443.5979912,37.968750000023,0.046874999999909,0
2.385e-05,1397542.4859333,38.031250000023,0.078124999999849,0
2.39e-05,1593443.5979912,38.109375000022,0.062499999999879,0
2.395e-05,1682864.0022228,38.187500000022,0.03124999999994,0
2.4e-05,1562499.9999961,38.250000000022,0.078124999999849,0
2.405e-05,1593443.5979914,38.328125000022,0.062499999999879,0
2.41e-05,1682864.0022226,38.406250000021,0.03124999999994,0
2.415e-05,1562499.9999961,38.468750000021,0.078124999999849,0
2.42e-05,1593443.5979915,38.546875000021,0.062499999999879,0
2.425e-05,1593443.5979912,38.62500000002,0.046874999999909,0
2.43e-05,1397542.4859334,38.68750000002,0.078124999999849,0
2.435e-05,1593443.5979914,38.76562500002,0.062499999999879,0
2.44e-05,1562499.9999939,38.84375000002,0.062499999999879,0
2.445e-05,1593443.5979914,38.921875000019,0.046874999999909,0
2.45e-05,1593443.5979912,39.000000000019,0.03124999999994,0
2.455e-05,1562499.9999962,39.062500000019,0.078124999999849,0
2.46e-05,1593443.5979912,39.140625000018,0.062499999999879,0
2.465e-05,1822172.4671319,39.218750000018,0.01562499999997,0
2.47e-05,1562499.999994,39.296875000018,0.01562499999997,0
2.475e-05,1767766.9529625,39.359375000018,0.078124999999849,0
2.48e-05,1562499.999994,39.437500000017,0.078124999999849,0
2.485e-05,1593443.5979914,39.515625000017,0.062499999999879,0
2.49e-05,1397542.4859333,39.578125000017,0.093749999999819,0
2.495e-05,1593443.5979912,39.656250000017,0.078124999999849,0
2.5e-05,1562499.999994,39.734375000016,0.078124999999849,0
2.505e-05,1593443.5979912,39.812500000016,0.062499999999879,0
2.51e-05,1562499.999994,39.890625000016,0.062499999999879,0
2.515e-05,1562499.9999939,39.968750000015,0.062499999999879,0
2.52e-05,1593443.5979912,40.046875000015,0.046874999999909,0
2.525e-05,1562499.9999963,40.109375000015,0.093749999999819,0
2.53e-05,1593443.5979912,40.187500000014,0.078124999999849,0
2.535e-05,1562499.9999939,40.265625000014,0.078124999999849,0
2.54e-05,1562499.999994,40.343750000014,0.078124999999849,0
