time,Fx,tip_velocity,tip_x,tip_y,tip_z
1.41e-05,147.33724988495,937499.99999943,27.484374999996,0.01562499999997,0
1.415e-05,147.8619031494,937499.99999964,27.531249999996,0.01562499999997,0
1.42e-05,148.38704861055,937499.99999943,27.578124999996,0.01562499999997,0
1.425e-05,148.91288329048,937499.99999957,27.624999999996,0.01562499999997,0
1.43e-05,149.43966840245,937499.99999957,27.671874999996,0.01562499999997,0
1.435e-05,149.96770257204,937499.99999943,27.718749999996,0.01562499999997,0
1.44e-05,150.49724701153,1249999.9999994,27.781249999995,0.01562499999997,0
1.445e-05,151.02840151141,937499.99999943,27.828124999995,0.01562499999997,0
1.45e-05,151.5609600107,937499.99999957,27.874999999995,0.01562499999997,0
1.455e-05,152.09430224645,937499.99999957,27.921874999995,0.01562499999997,0
1.46e-05,152.62738215353,1249999.9999994,27.984374999995,0.01562499999997,0
1.465e-05,153.15884456669,937499.99999943,28.031249999995,0.01562499999997,0
1.47e-05,153.6872520026,937499.9999995,28.078124999995,0.01562499999997,0
1.475e-05,154.21135930699,1249999.9999994,28.140624999995,0.01562499999997,0
1.48e-05,154.73035726227,937499.9999995,28.187499999995,0.01562499999997,0
1.485e-05,155.24401944515,1249999.9999994,28.249999999995,0.01562499999997,0
1.49e-05,155.75271620968,937499.9999995,28.296874999995,0.01562499999997,0
1.495e-05,156.25729273632,1249999.9999994,28.359374999995,0.01562499999997,0
1.5e-05,156.75884226243,937499.9999995,28.406249999995,0.01562499999997,0
1.505e-05,157.17529894774,1249999.9999994,28.468749999995,0.01562499999997,0
1.51e-05,157.40834236021,937499.9999995,28.515624999995,0.01562499999997,0
1.515e-05,157.46064979772,1249999.9999994,28.578124999995,0.01562499999997,0
1.52e-05,157.41767635617,937499.99999957,28.624999999995,0.01562499999997,0
1.525e-05,157.36621791099,1249999.9999993,28.687499999995,0.01562499999997,0
1.53e-05,157.34350906358,1249999.9999994,28.749999999995,0.01562499999997,0
1.535e-05,157.3398616575,937499.9999995,28.796874999995,0.01562499999997,0
1.54e-05,157.331666105,1249999.9999993,28.859374999995,0.01562499999997,0
1.545e-05,157.30871083502,1249999.9999994,28.921874999995,0.01562499999997,0
1.55e-05,157.27821982829,937499.99999957,28.968749999995,0.01562499999997,0
1.555e-05,157.25257378964,1249999.9999994,29.031249999995,0.01562499999997,0
1.56e-05,157.23740270063,1249999.9999993,29.093749999995,0.01562499999997,0
1.565e-05,157.22969932189,1249999.9999994,29.156249999995,0.01562499999997,0
1.57e-05,157.22366917719,1249999.9999993,29.218749999995,0.01562499999997,0
1.575e-05,157.21654333677,937499.99999957,29.265624999995,0.01562499999997,0
1.58e-05,157.20953201862,1249999.9999994,29.328124999995,0.01562499999997,0
1.585e-05,157.20493945383,1249999.9999993,29.390624999995,0.01562499999997,0
1.59e-05,157.20332369141,1249999.9999994,29.453124999995,0.01562499999997,0
1.595e-05,157.20317291332,1249999.9999992,29.515624999995,0.01562499999997,0
1.6e-05,157.20257649146,1249999.9999994,29.578124999995,0.01562499999997,0
1.605e-05,157.2008395135,1249999.9999994,29.640624999995,0.01562499999997,0
1.61e-05,157.19868727709,1249999.9999994,29.703124999994,0.01562499999997,0
1.615e-05,157.19729023063,1249999.9999993,29.765624999994,0.01562499999997,0
1.62e-05,157.19720995157,1249999.9999994,29.828124999994,0.01562499999997,0
1.625e-05,157.1980678331,1249999.9999994,29.890624999994,0.01562499999997,0
1.63e-05,157.19892383332,1249999.9999992,29.953124999994,0.01562499999997,0
1.635e-05,157.19885292013,1249999.9999994,30.015624999994,0.01562499999997,0
1.64e-05,157.19728881775,1249999.9999994,30.078124999994,0.01562499999997,0
1.645e-05,157.19406646425,1249999.9999994,30.140624999994,0.01562499999997,0
1.65e-05,157.18933037177,1249999.9999992,30.203124999994,0.01562499999997,0
1.655e-05,157.1834525703,1249999.9999994,30.265624999994,0.01562499999997,0
1.66e-05,157.17696539458,1249999.9999994,30.328124999994,0.01562499999997,0
1.665e-05,157.17044865405,1249999.9999994,30.390624999994,0.01562499999997,0
1.67e-05,157.16436295831,1249999.9999992,30.453124999994,0.01562499999997,0
1.675e-05,157.1589018563,1249999.9999994,30.515624999994,0.01562499999997,0
1.68e-05,157.1539489205,1562499.9999992,30.593749999994,0.01562499999997,0
1.685e-05,157.14916287738,1249999.9999993,30.656249999994,0.01562499999997,0
1.69e-05,157.14413825578,1249999.9999993,30.718749999994,0.01562499999997,0
1.695e-05,157.13856124963,1249999.9999994,30.781249999994,0.01562499999997,0
1.7e-05,157.13230597013,1249999.9999994,30.843749999994,0.01562499999997,0
1.705e-05,157.12545766963,1562499.9999992,30.921874999994,0.01562499999997,0
1.71e-05,157.11827318434,1249999.9999994,30.984374999994,0.01562499999997,0
1.715e-05,157.1110929174,1249999.9999994,31.046874999994,0.01562499999997,0
1.72e-05,157.10422213436,1249999.9999992,31.109374999994,0.01562499999997,0
1.725e-05,157.09781297836,1249999.9999994,31.171874999994,0.01562499999997,0
1.73e-05,157.09179150776,1562499.9999991,31.249999999994,0.01562499999997,0
1.735e-05,157.08586663276,1249999.9999994,31.312499999994,0.01562499999997,0
1.74e-05,157.07962463761,1249999.9999993,31.374999999994,0.01562499999997,0
1.745e-05,157.07267134179,1562499.9999992,31.453124999994,0.01562499999997,0
1.75e-05,157.0647608209,1249999.9999994,31.515624999994,0.01562499999997,0
1.755e-05,157.05585981267,1249999.9999992,31.578124999994,0.01562499999997,0
1.76e-05,157.04613222051,1249999.9999994,31.640624999993,0.01562499999997,0
1.765e-05,157.03586497573,1562499.9999991,31.718749999993,0.01562499999997,0
1.77e-05,157.02537445377,1249999.9999994,31.781249999993,0.01562499999997,0
1.775e-05,157.01492744588,1562499.9999991,31.859374999993,0.01562499999997,0
1.78e-05,157.00469331516,1249999.9999994,31.921874999993,0.01562499999997,0
1.785e-05,156.99472867972,1249999.9999994,31.984374999993,0.01562499999997,0
1.79e-05,156.98498916685,1562499.9999991,32.062499999993,0.01562499999997,0
1.795e-05,156.97536126461,1249999.9999994,32.124999999993,0.01562499999997,0
1.8e-05,156.9657051703,1562499.9999993,32.203124999993,0.01562499999997,0
1.805e-05,156.95589575441,1249999.9999991,32.265624999993,0.01562499999997,0
1.81e-05,156.94584798718,1249999.9999994,32.328124999993,0.01562499999997,0
1.815e-05,156.93551993154,1562499.999999,32.406249999993,0.01562499999997,0
1.82e-05,156.92489891703,1249999.9999994,32.468749999993,0.01562499999997,0
1.825e-05,156.91398664976,1562499.9999993,32.546874999993,0.01562499999997,0
1.83e-05,156.9027986929,1249999.9999994,32.609374999993,0.01562499999997,0
1.835e-05,156.89138201057,1249999.9999991,32.671874999993,0.01562499999997,0
1.84e-05,156.8798387742,1562499.9999993,32.749999999993,0.01562499999997,0
1.845e-05,156.86833623432,1249999.9999994,32.812499999993,0.01562499999997,0
