time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
11.625,-0.00014262979548823,-0.0036806548151395,-0.0038232846106278,-0.00073629227795758,0.078463781788327,272.59895946622,0.0012125357121455,0.07478335175947,0.49748275646994,0.88165599729008,0.0044134645864865,0,0
11.875,-0.00029574997299783,-0.0039768821331918,-0.0042726321061896,-0.00072441603307992,0.081180424883447,268.64338172406,0.00081389353913367,0.071894326770624,0.49748285481325,0.88171127934431,0.004401047488437,0,0
12.125,-0.00035650322287939,-0.004309386433153,-0.0046658896560324,-0.00072115851322059,0.083787624881712,264.56098784374,0.00046876631154488,0.068897462348475,0.49748298101723,0.88162733352424,0.0043993981105738,0,0
12.375,-0.00034564897309384,-0.004583343874949,-0.0049289928480429,-0.00072384175943681,0.086314982382506,260.38562537184,0.0003334102112733,0.066564474562277,0.49748312025726,0.88065652225401,0.0043699019358691,0,0
12.625,-0.00038413537555641,-0.0049317883882423,-0.0053159237637987,-0.00073292151943322,0.088880782000358,256.17573412,0.00030288335076983,0.065137474593272,0.49748326112098,0.87893434182946,0.0043326306028999,0,0
12.875,-0.00048688199306592,-0.005243805715866,-0.0057306877089319,-0.00075573656972828,0.091503890865588,252.03496383828,0.00021851095499839,0.064150850908128,0.497483401773,0.87691396196608,0.0043101856668749,0,0
13.125,-0.0005431454063022,-0.0053111496200913,-0.0058542950263935,-0.00080537024407522,0.094208454977518,248.03554805501,0.0001478474836965,0.063536447990916,0.4974835515156,0.87430205194839,0.004277928080528,0,0
13.375,-0.00051115143699304,-0.0053131883616463,-0.0058243397986393,-0.0008953686787673,0.096992735061753,244.16436894996,0.00022694546484068,0.063540729642529,0.4974837276451,0.87089031819794,0.0042428831173375,0,0
13.625,-0.00041773263577497,-0.0055611803696491,-0.0059789130054241,-0.0010310163747964,0.099831335071002,240.35956271409,0.00046723633445803,0.064217097169743,0.49748394802222,0.86676307812617,0.00420502146199,0,0
13.875,-0.00024321023070658,-0.0060049396353607,-0.0062481498660673,-0.0012000559241209,0.10266377363569,236.57017087952,0.00086466816331687,0.065461852285195,0.49748422210374,0.86199730980888,0.0041671946321112,0,0
14.125,1.1286707742022e-05,-0.0065590250966855,-0.0065477383889435,-0.001374836634618,0.10546294674767,232.7988713235,0.0014166830991239,0.067455631890131,0.49748454568535,0.85640777045397,0.0041426707785519,0,0
14.375,0.00029721596136083,-0.0066997189813246,-0.0064025030199637,-0.0015280135913109,0.10821296964472,229.13988585235,0.0020488756980217,0.070061430093331,0.49748490314116,0.8502961579005,0.0041164215391879,0,0
14.625,0.00059554131367673,-0.0067328822304716,-0.0061373409167948,-0.0016460413230093,0.11091837032698,225.80094731967,0.0027000411641894,0.073281725877326,0.4974852755009,0.84366988023159,0.0040876330306445,0,0
14.875,0.00089666393318266,-0.0064702959115349,-0.0055736319783523,-0.0017296370159053,0.11357140093585,223.10421820626,0.0033579827209401,0.077257808603576,0.49748564811793,0.83646117419802,0.0040511366502936,0,0
15.125,0.0011889539032868,-0.0064672465337986,-0.0052782926305118,-0.0017865315597431,0.11622728978809,221.49667690353,0.0040175782429752,0.082010866081823,0.49748601264259,0.82851085325189,0.0040193412128251,0,0
15.375,0.0014738012873177,-0.0064671066800345,-0.0049933053927168,-0.0018264880450062,0.11887951674627,221.56379130484,0.0046762881599014,0.08736831567757,0.49748636370906,0.82008608392083,0.0039883484934474,0,0
15.625,0.001734924378715,-0.0068239307572899,-0.0050890063785749,-0.0018614914415391,0.12157694824757,223.96610350305,0.0053058368427652,0.093010517955457,0.4974866951942,0.81131001885504,0.0039562902776438,0,0
15.875,0.0019462049175635,-0.0072405776440644,-0.0052943727265009,-0.0019068688196626,0.12431554431356,229.22832563318,0.0058504114415189,0.098979619188915,0.49748699983069,0.80219402142907,0.0039218051060266,0,0
16.125,0.0021008475457027,-0.006287975081859,-0.0041871275361563,-0.0019793519271842,0.12706586593156,237.41648975183,0.0062726808427346,0.10501434250482,0.49748727170277,0.79338029021315,0.0038804114832293,0,0
16.375,0.0022245520910987,-0.00529192477152,-0.0030673726804213,-0.0020923628474018,0.12982094979765,247.84070128111,0.0065946456203054,0.11053037560682,0.49748750889896,0.78507008850833,0.0038319277024463,0,0
16.625,0.0023645720553758,-0.0046015169413202,-0.0022369448859444,-0.0022514522076069,0.13259865391427,258.94190560241,0.0069047463858834,0.11569933203408,0.49748771474486,0.77695721212952,0.0037781627299106,0,0
16.875,0.0025328119963937,-0.0042933509060759,-0.0017605389096822,-0.0024520217314361,0.13542675350597,268.48178294823,0.0072845180590032,0.12077122905658,0.49748789789531,0.76878634780709,0.0037196119559012,0,0
17.125,0.0026765357203781,-0.0046167618039017,-0.0019402260835236,-0.0026795900175064,0.13831777435433,274.10450124516,0.0077236654330322,0.12598972072012,0.49748807179918,0.76023232501729,0.0036545111969346,0,0
17.375,0.0027298829471935,-0.0046503011672555,-0.0019204182200619,-0.0029130642278452,0.14125145377214,274.22478737294,0.0081372083442575,0.13144348108225,0.4974882529934,0.75147230847091,0.0035803392949385,0,0
17.625,0.0026788566417183,-0.0043215979772478,-0.0016427413355295,-0.0031317029456902,0.14424276457411,268.92996607876,0.008452471377967,0.13694543930186,0.49748845716052,0.74280500033721,0.0034951526768456,0,0
17.875,0.0025714081303805,-0.00359567156397,-0.0010242634335895,-0.0033236317712672,0.14729254404936,260.30805303462,0.0086765418597699,0.14199614856848,0.49748869326652,0.73474648823993,0.0033976866192064,0,0
18.125,0.00247419801443,-0.0027722171308571,-0.00029801911642716,-0.0034900109585731,0.15039527980052,251.7172692719,0.0088979235208845,0.14644759332877,0.49748895875731,0.72704037616273,0.0032873685903359,0,0
18.375,0.0024149985274621,-0.0024615835929186,-4.658506545648e-05,-0.0036397874925294,0.15352119050893,246.16359254086,0.0091971845905887,0.15067620340715,0.49748923997724,0.71951351007414,0.0031649368542822,0,0
18.625,0.0023774812408366,-0.0021570486542176,0.00022043258661902,-0.0037759259590759,0.15671106559586,244.72318003425,0.009552813871156,0.15461199807036,0.49748951938445,0.71241913669374,0.0030386201536761,0,0
