time,DJ,DJ1,DJ2,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
25.75,-0.0035442253639297,0.011175235173927,-0.014719460537857,-0.0019877475683638,0.26495724681278,192.32275190917,0.0087129266671808,0.42171356706258,0.49520060799076,0.30236325454429,0.0035174611456099,0,0
26,-0.0028819251953123,0.011909859448677,-0.01479178464399,-0.0019254614870727,0.26971689668969,164.20605122901,0.0090540965701233,0.43799572188767,0.495200827289,0.2820241262558,0.0035295299103702,0,0
26.25,0.00042106979268243,0.012555534477546,-0.012134464684863,-0.0018431131247079,0.2745083903268,125.12519959501,0.0094874891977063,0.45169274538888,0.49520100772387,0.26458035981285,0.0035731046873301,0,0
26.5,-0.0003133454224322,0.013115314223934,-0.013428659646366,-0.0017383809707833,0.27929667600584,74.747539013892,0.0099485114343991,0.46150941776152,0.49520117133299,0.25251385015455,0.0035847933455837,0,0
26.75,-0.002964594844097,0.013532046366628,-0.016496641210725,-0.0016072477396882,0.2841677569316,15.017762246304,0.010299517853556,0.4644842621434,0.49520134256203,0.24854982929764,0.0035741174696978,0,0
27,-0.0031353988576922,0.013723771669808,-0.0168591705275,-0.0014488202717344,0.28920181342757,-49.690827871803,0.010413456133741,0.45897588718996,0.49520154431669,0.25285658283526,0.0035657511684512,0,0
27.25,-0.0015960438045798,0.013691851647483,-0.015287895452063,-0.0012802433862599,0.2943419836465,-112.89365289666,0.010279153787137,0.4455389026791,0.49520179382506,0.26374346146353,0.0035812220051393,0,0
27.5,-0.0003811927200459,0.013593653518488,-0.013974846238534,-0.0011421521917033,0.29950332715555,-166.78696882697,0.010033142559791,0.42817962124892,0.49520209912743,0.27581798532005,0.0035911790838667,0,0
27.75,-0.0014848153780114,0.013334917536064,-0.014819732914076,-0.0010871198984969,0.30529315248996,-203.81656792163,0.009458109164576,0.41270737849205,0.49520245791943,0.28299335379969,0.0035865629391269,0,0
28,0.0012312658159607,0.013059264012956,-0.011827998196995,-0.0011565227642717,0.31148198504306,-219.03196128973,0.0085568481539196,0.40110391069477,0.4952028598915,0.28588993192867,0.0036334825792497,0,0
28.25,0.00036492117555705,0.012915086279587,-0.01255016510403,-0.0013581991167263,0.31755962380965,-212.37812297581,0.0074752663777365,0.39193068704516,0.49520329187274,0.28817252605175,0.00359272285839,0,0
28.5,7.0540997270354e-05,0.01248729001771,-0.012416749020439,-0.0016552943350138,0.32328125756256,-189.5451311444,0.0059857788082426,0.38084807595587,0.49520374348727,0.29533770961991,0.0035673156615391,0,0
28.75,-0.00057397464048855,0.011362051515806,-0.011936026156295,-0.0019697742504057,0.32835997720007,-160.4994971504,0.0040116567155125,0.3646564782716,0.49520421067885,0.30852272470891,0.0035441211367112,0,0
29,-0.0046914380982446,0.0096499507162024,-0.014341388814447,-0.0022050681714088,0.33299292148558,-136.0769424525,0.0017817549084045,0.34525993447613,0.49520469528836,0.3234116324794,0.0035265983839839,0,0
29.25,-0.0060919316592735,0.0083157391342077,-0.014407670793481,-0.0022854691056099,0.33716098314303,-124.1009321495,-0.0001990389904636,0.32624852437281,0.49520520048063,0.33700146489147,0.0035106854929901,0,0
29.5,-0.0075682243517658,0.0084786075535007,-0.016046831905267,-0.0021836676771269,0.34077283658526,-126.7440774315,-0.0014482651337295,0.30829108035766,0.49520572388757,0.35022295291859,0.0035215295521701,0,0
29.75,-0.0085535860067094,0.010356618819543,-0.018910204826252,-0.001908970813527,0.3437992576592,-140.25467103582,-0.0018683643437444,0.29146165880733,0.49520625200452,0.36325043513173,0.0035038282047048,0,0
30,-0.0076725180343803,0.013441778187244,-0.021114296221624,-0.0014782212604053,0.34610720218706,-157.10330892582,-0.0013390441330824,0.27460295405152,0.49520675916821,0.37745745579304,0.0036230702848811,0,0
30.25,-0.0069115956812655,0.016320975789031,-0.023232571470296,-0.00091651266819129,0.34785840195099,-169.55103752668,-0.00091804154072963,0.25765255178696,0.49520721181093,0.39231714609503,0.003753361410836,0,0
30.5,-0.0079064609431954,0.019506734357387,-0.027413195300583,-0.00029241951190788,0.34929586286486,-173.06987984049,0.00013770965724431,0.23972004259746,0.49520757543488,0.4086305984411,0.0038857525538141,0,0
30.75,-0.0067880592149868,0.023089924316012,-0.029877983530999,0.00026661008223446,0.35050099849312,-168.17503119056,0.002274376957877,0.21986608433883,0.49520782076465,0.42814502974348,0.0040151183291289,0,0
31,-0.0039759698619303,0.026171120050922,-0.030147089912852,0.00062186208537691,0.35147072848333,-159.86905614117,0.0046039188497775,0.19766130215528,0.49520792751807,0.44854380718058,0.0041361117982595,0,0
31.25,-0.00018434819720575,0.030957483280869,-0.031141831478074,0.00068179121499143,0.35219405034482,-154.79771974412,0.0088214491965869,0.17658272523906,0.49520788661035,0.4670699184841,0.0042429809095429,0,0
31.5,0.004412838154937,0.036533529511036,-0.032120691356099,0.00040883098133831,0.35277600573192,-157.34640737394,0.013686416744975,0.15927966711496,0.49520770158712,0.48119686250041,0.0043285772015492,0,0
31.75,0.0078510467307882,0.039529403005631,-0.031678356274843,-0.00019532703988466,0.35332423167638,-166.93251751807,0.016791188710162,0.14669948970803,0.49520738826212,0.48978297257988,0.0043866153960058,0,0
32,0.0097706068441981,0.039908592603974,-0.030137985759776,-0.0011085743465143,0.35380604403681,-178.55992401002,0.018783313112224,0.14123735055892,0.49520697106236,0.49025377073216,0.0044127040658033,0,0
32.25,0.01550683348785,0.044042875884335,-0.028536042396485,-0.002319859712387,0.35422203714657,-186.56287269645,0.025212733042863,0.14485178604903,0.49520647676844,0.48108653518212,0.0044049320161571,0,0
32.5,0.020128036095234,0.048433077506445,-0.02830504141121,-0.0038269105662692,0.35463306696206,-188.75307230486,0.031425330290241,0.15732781133769,0.49520592863862,0.46411955593882,0.0044082407902368,0,0
32.75,0.024289114938381,0.05240985959956,-0.028120744661179,-0.0055999157401438,0.35504914185979,-187.62869444841,0.036887459321488,0.17517487603371,0.49520534331482,0.44419588342254,0.0045344169010004,0,0
33,0.023218293009144,0.052365014191414,-0.029146721182269,-0.007569610006579,0.35547787144167,-187.8282234769,0.03757966380261,0.19354573157625,0.49520473030908,0.42567634166609,0.0045809013851695,0,0
33.25,0.024785404343619,0.053195930349832,-0.028410526006213,-0.0096325358030174,0.35593595264968,-192.25650411695,0.03890576431115,0.20905502733926,0.4952040929569,0.41101323814448,0.004637209126218,0,0
33.5,0.027614264790334,0.054621661323047,-0.027007396532712,-0.011656194108131,0.3564534502566,-200.1520060786,0.041184806437327,0.2206222341489,0.49520343136504,0.39925134028573,0.0046764188173813,0,0
33.75,0.027572628349525,0.053680996481298,-0.026108368131773,-0.013505967208518,0.35702434317933,-208.28281427613,0.041173628616562,0.23143903524213,0.4952027482483,0.38595354894596,0.0047225000336189,0,0
34,0.026810193013622,0.054178242212472,-0.027368049198849,-0.015065770393171,0.35761025989395,-213.72927275379,0.042143294046981,0.24531008509713,0.49520205510283,0.36886470067997,0.0047704479205358,0,0
34.25,0.033336051791907,0.057010741922594,-0.023674690130687,-0.016226603485737,0.3582125195818,-215.76491979612,0.044880691609708,0.2624032346709,0.49520137302422,0.34933133864742,0.0047851219677673,0,0
34.5,0.036704654815288,0.061818775471281,-0.025114120655993,-0.016881211008712,0.35881149181425,-215.59758005777,0.049885598359404,0.28034557123862,0.49520072555287,0.33097119477143,0.004758256980865,0,0
34.75,0.041952520913788,0.064076172751296,-0.022123651837508,-0.016954752607222,0.3593839993641,-214.69288527268,0.053252833165247,0.29606429858463,0.49520012840112,0.31494282674029,0.0047120535002878,0,0
35,0.049153506520739,0.063463008802061,-0.014309502281321,-0.016467695831041,0.35985606281842,-213.32829833747,0.054366278001165,0.3105627813232,0.49519958383663,0.29891281543734,0.0046784666274452,0,0
35.25,0.060497861438833,0.06650450310379,-0.0060066416649569,-0.01556425005744,0.3602838796872,-210.40696731122,0.05957678949744,0.32680536086746,0.4951990819524,0.2802959509725,0.0046484265522451,0,0
35.5,0.054159322266252,0.066047359882153,-0.0118880376159,-0.014438680397996,0.36073148064418,-204.29497962439,0.060418235196821,0.34540737422655,0.49519860508869,0.2599084870235,0.0045931175031614,0,0
35.75,0.046338000920198,0.060277875506623,-0.013939874586425,-0.01323000083659,0.36116725113566,-193.72811945544,0.055218904365909,0.36471278203791,0.495198134,0.24008587135091,0.0044908471016717,0,0
36,0.040658339261577,0.056358370471016,-0.015700031209439,-0.011974327134535,0.36156520722271,-178.04872657845,0.051837470050055,0.38265604247755,0.49519765867492,0.22201360187711,0.0043640407263143,0,0
36.25,0.035928020971612,0.052555457150766,-0.016627436179155,-0.010612176659235,0.36192678827703,-156.74711753476,0.04872604377848,0.39910154849607,0.49519718976861,0.20533402509154,0.0042903685748247,0,0
36.5,0.032991627336381,0.049232268270943,-0.016240640934562,-0.009073941111157,0.36230715019914,-128.90838534795,0.046146814076258,0.41395630274151,0.49519675518342,0.19088019653436,0.0042726926116422,0,0
36.75,0.029641493855187,0.047636615010869,-0.017995121155682,-0.0073993688798843,0.36274663146644,-93.29153459934,0.045264921578188,0.42535943349841,0.49519637547237,0.18049826159864,0.0042415985137643,0,0
37,0.026037724090634,0.041524909088701,-0.015487184998067,-0.0057159795241505,0.36320273062618,-49.233995906335,0.039515705109041,0.43211335619042,0.49519604115214,0.17537877515565,0.0041363458668468,0,0
37.25,0.021923770075816,0.036202975899665,-0.014279205823849,-0.004128106988168,0.36363034867244,2.2396468272889,0.033721703017492,0.43317541481075,0.49519572321013,0.1764669274344,0.0039879831149166,0,0
37.5,0.021772818871965,0.034235690084156,-0.01246287121219,-0.0026942323889275,0.36406058098511,57.98458862699,0.030915755126915,0.42818007506775,0.49519541094356,0.18354973466388,0.0038738594713377,0,0
