time,DJint,DJint_2,Jint,dt,external_work,kinetic_energy,strain_energy,tip,tip_adv,tip_cum,top_react
47.512500000003,0.0031253010134367,0.00067932003717745,0.0031365341417881,0.0125,0.069410064242649,0.00041931630578341,0.024267710273767,21.5,0.0125,11.5125,63.431310484524
47.525000000003,0.0031236056994758,0.00065827625117229,0.0031347503451557,0.0125,0.069448378911042,0.00041048931316793,0.024306639864829,21.5125,0.0125,11.525,63.372411342116
47.537500000003,0.003122021000657,-0.0019107569514423,0.0031330591629492,0.0125,0.069486673111843,0.00043003700279442,0.024105178110785,21.525,0.0125,11.5375,63.315905731189
47.550000000003,0.003120549287259,-0.00082554740026172,0.0031314641892111,0.0125,0.069524948261866,0.00048319215633872,0.024049905204149,21.5375,0.0125,11.55,63.262000671126
47.562500000003,0.003119197937383,0.00055983324255956,0.0031299747215925,0.0125,0.069563206000729,0.00048586256954714,0.024064071100971,21.55,0.0125,11.5625,63.211001468698
47.575000000003,0.0031179737245337,0.00077987598623854,0.0031286001137956,0.0125,0.069601448191196,0.0004740561176604,0.024091279469711,21.5625,0.0125,11.575,63.163208456386
47.587500000003,0.0031168768524523,0.00078347761679929,0.0031273436321271,0.0125,0.069639676805382,0.000459911119969,0.024124472856435,21.575,0.0125,11.5875,63.118801873484
47.600000000003,0.0031158971087024,0.00077263715379305,0.0031261983137713,0.0125,0.069677893730255,0.00044713919149449,0.024158688354416,21.5875,0.0125,11.6,63.077759913926
47.612500000003,0.0031150138098246,0.00076257917521963,0.0031251465593096,0.0125,0.069716100558075,0.00043782421034531,0.024191729902193,21.6,0.0125,11.6125,63.039842368147
47.625000000003,0.0031141997680754,0.00073273600999728,0.0031241637654226,0.0125,0.069754298434862,0.00043094014838652,0.024225228746584,21.6125,0.0125,11.625,63.004647627556
47.637500000003,0.0031134279734331,0.00069747341017535,0.003123224761888,0.0125,0.069792488020429,0.00042367709004011,0.024261467160137,21.625,0.0125,11.6375,62.971723860894
47.650000000003,0.0031126786175974,0.00067662680453931,0.0031223107255085,0.0125,0.069830669574266,0.00041501685725076,0.02430010674689,21.6375,0.0125,11.65,62.940695349977
47.662500000003,0.0031119438874779,-0.0018983343690134,0.0031214140086436,0.0125,0.069868843136558,0.00043451126192365,0.024098410718244,21.65,0.0125,11.6625,62.911358941717
47.675000000003,0.0031112287273876,-0.0008127457683247,0.0031205390550911,0.0125,0.069907008739152,0.00048713447463105,0.024043683781509,21.6625,0.0125,11.675,62.88371592569
47.687500000003,0.0031105472536007,0.00057364209941452,0.0031196990330924,0.0125,0.069945166570972,0.00048909945620472,0.024058345323375,21.675,0.0125,11.6875,62.857928565692
47.700000000003,0.0031099161403366,0.0007930778857649,0.0031189094402328,0.0125,0.069983317040941,0.00047710980427957,0.024085401129731,21.6875,0.0125,11.7,62.83421934441
47.712500000003,0.0031093474321782,0.00079636958244452,0.0031181810806801,0.0125,0.07002146072184,0.0004632481960539,0.024118169999261,21.7,0.0125,11.7125,62.81275294573
47.725000000003,0.0031088434235358,0.00078600954235691,0.0031175150274272,0.0125,0.070059598204571,0.00045055648540203,0.02415242038309,21.7125,0.0125,11.725,62.793546843255
47.737500000003,0.0031083954263291,0.00077725892499742,0.0031169013968977,0.0125,0.070097729925791,0.00044073087623699,0.024186091948878,21.725,0.0125,11.7375,62.776444161538
47.750000000003,0.0031079867615275,0.00074935240501964,0.0031163223070282,0.0125,0.070135856040721,0.00043310025354584,0.024220233587686,21.7375,0.0125,11.75,62.76115799603
47.762500000003,0.0031075987240102,0.00071632614083099,0.0031157578177827,0.0125,0.070173976394743,0.00042544804328364,0.024256607534014,21.75,0.0125,11.7625,62.747369380305
47.775000000003,0.003107217159892,0.00069754259359685,0.0031151925372617,0.0125,0.070212090609167,0.00041683758489091,0.024295045947871,21.7625,0.0125,11.775,62.734841052996
47.787500000003,0.0031068370670081,-0.0018874795860535,0.0031146203262132,0.0125,0.070250198252278,0.00043648163598337,0.024092407393442,21.775,0.0125,11.7875,62.723502824285
47.800000000003,0.0031064633867577,-0.00079762225334904,0.0031140452612368,0.0125,0.070288299032647,0.00048894958311724,0.024037832113804,21.7875,0.0125,11.8,62.713474342577
47.812500000003,0.0031061076371212,0.00059423584336498,0.0031134784704861,0.0125,0.07032639294144,0.00049023859887179,0.024053077052136,21.8,0.0125,11.8125,62.705014668706
47.825000000003,0.0031057816754279,0.00081428287387331,0.0031129320769856,0.0125,0.070364480288825,0.00047774899805405,0.024080346365427,21.8125,0.0125,11.825,62.698416667234
47.837500000003,0.0031054910196622,0.0008174438949567,0.0031124126236884,0.0125,0.070402561619693,0.00046384751261692,0.024112916179016,21.825,0.0125,11.8375,62.693886061089
47.850000000003,0.0031052303431835,0.00080715981244061,0.0031119165566587,0.0125,0.070440637539665,0.00045124410475422,0.024147034598602,21.8375,0.0125,11.85,62.691450798697
47.862500000003,0.003104982931921,0.00079876028779619,0.0031114295463355,0.0125,0.070478708515587,0.00044118636767313,0.024181008651537,21.85,0.0125,11.8625,62.690934196261
47.875000000003,0.0031047243948147,0.00077147577732292,0.0031109299620808,0.0125,0.070516774723395,0.00043295931991061,0.024215746035314,21.8625,0.0125,11.875,62.692000871877
47.887500000003,0.0031044293178383,0.00073948531587865,0.0031103952412891,0.0125,0.070554835997852,0.00042470227532436,0.024252575515099,21.875,0.0125,11.8875,62.69425751244
47.900000000003,0.0031040784334751,0.00072211664950889,0.0031098087864443,0.0125,0.070592891900308,0.00041580400022945,0.024291099438421,21.8875,0.0125,11.9,62.697370470491
47.912500000003,0.0031036636533017,-0.0018766588306211,0.0031091647912112,0.0125,0.07063094187616,0.00043560940817782,0.024087027485856,21.9,0.0125,11.9125,62.701155799859
47.925000000003,0.0031031890869593,-0.0007805604921208,0.0031084691497409,0.0125,0.070668985439377,0.00048837088993987,0.024032011818206,21.9125,0.0125,11.925,62.705607291982
47.937500000003,0.0031026676805418,0.00061942122168345,0.0031077360847372,0.0125,0.070707022310902,0.00048929470182656,0.024047627872174,21.925,0.0125,11.9375,62.710851641929
47.950000000003,0.003102114777582,0.00084074435134429,0.0031069817747203,0.0125,0.070745052455891,0.00047612187669601,0.024075433220212,21.9375,0.0125,11.95,62.717048459625
