time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
19.5,-0.00012724791071039,0.00016473427216419,1.0377225131409e-05,-1.6575305321543e-06,-7.586691395263e-05,1.08680972502e-05,38.516682574511,0.06364672243714,0.031180187570847,0.00038620184919341,0.014749105837679,-38.516682574511
20,-0.00013573147078581,0.00018653376727661,9.987154472443e-06,-2.0695790334785e-07,-9.55899122076e-05,9.7536548493461e-06,39.445172737525,0.064504430402054,0.031180223849336,0.00025620487030716,0.015677416373449,-39.445172737525
20.5,-8.6400760245356e-05,0.00015145067706868,8.5848897469927e-06,1.5762841803833e-06,-5.7951413708643e-05,7.7008570350756e-06,43.020580162445,0.065474243711454,0.031180265033122,0.00021973402777225,0.016607925498832,-43.020580162445
21,6.8519501226954e-06,6.9629443841443e-05,7.1065244021118e-06,2.9389604982396e-06,2.7808020835057e-05,5.8409770332428e-06,48.216537875997,0.066592080263761,0.031180283492013,0.00024059905876881,0.017643945447888,-48.216537875997
21.5,0.00011654817395746,-3.3592947529478e-05,6.4829967270489e-06,3.2752351546446e-06,0.00013602653765946,5.2779710546783e-06,53.657176160594,0.06787894539285,0.031180287117417,0.0002537722374874,0.018866635206702,-53.657176160594
22,0.0002110658449503,-0.0001264358065152,7.112312013975e-06,2.4803123627308e-06,0.00023512699734861,6.4398001837246e-06,58.088448540557,0.069336711416804,0.031180294236378,0.00025508354499997,0.020260174663921,-58.088448540557
22.5,0.00026399144679151,-0.00018078096772626,8.8535662026305e-06,8.6816276080952e-07,0.00029816007765922,9.0116117410403e-06,60.718400160645,0.070949918475652,0.031180329105928,0.0002999984073391,0.021750201713521,-60.718400160645
23,0.00026107875710475,-0.00018018734497344,1.124389508695e-05,-9.6530248993106e-07,0.00030967837742603,1.2233431812299e-05,61.366194115886,0.072692524561663,0.031180418154891,0.00042733637803939,0.023295986972578,-61.366194115886
23.5,0.00020403459738594,-0.00012436319989617,1.3755221087697e-05,-2.3623808980923e-06,0.00026864073697242,1.5311508207471e-05,60.43569046755,0.074537440221628,0.031180596775389,0.00060256904679236,0.024932020171735,-60.43569046755
24,0.00011059308086882,-2.9409040799519e-05,1.5985619315311e-05,-2.8677284498034e-06,0.00018846473137608,1.7730093915809e-05,58.754301399895,0.076466235516255,0.031180901346168,0.00074172667144056,0.026725166395647,-58.754301399895
