time,Jint,Jint_box,bot_react,disp_upper,external_work,kinetic_energy,strain_energy,top_react
27,0.001860752518047,-0.00031941824350881,43.746001025769,3.4914270406082e-05,0.019544039988528,0.0013995274854355,0.015894522001679,-43.746001025769
27.5,0.0020125919973408,-0.00034529175019503,44.761334574403,3.5174444857557e-05,0.020513393099345,0.0014385059848267,0.016845462542583,-44.761334574403
28,0.0021755152234191,-0.00037275620125219,45.827067472766,3.5441941934774e-05,0.021558325441801,0.0014727776472858,0.017870273779045,-45.827067472766
28.5,0.0023498690384463,-0.00040181934455074,46.944756400973,3.5717199788955e-05,0.022684653267409,0.0015024927039161,0.018974660836677,-46.944756400973
29,0.0025359308831407,-0.00043247984999011,48.115860023634,3.6000681551535e-05,0.023898421715118,0.0015278671931908,0.020164563789126,-48.115860023634
29.5,0.0027339015337461,-0.00046472730441793,49.341728642355,3.6292878848126e-05,0.025205852737117,0.001549167159946,0.021446106981683,-49.341728642355
30,0.0029438996730103,-0.00049854238840295,50.623595306683,3.659431580061e-05,0.026613290001463,0.0015666942396913,0.022825545073658,-50.623595306683
30.5,0.0031659584933184,-0.00053389723236529,51.962568541011,3.6905553522732e-05,0.028127142515179,0.0015807729338456,0.024309207546452,-51.962568541011
31,0.0034000244527757,-0.00057075594197889,53.359626800143,3.7227195124581e-05,0.029753828557789,0.0015917396861441,0.025903443276907,-53.359626800143
31.5,0.0036459582177548,-0.00060907527559985,54.815614718765,3.7559891251605e-05,0.031499721336121,0.0015999337356429,0.027614566600249,-54.815614718765
32,0.003903537733427,-0.00064880545026621,56.331241171676,3.7904346193897e-05,0.033371097577502,0.0016056896381331,0.029448806095477,-56.331241171676
32.5,0.0041724632734832,-0.00068989104800588,57.907079113977,3.8261324611173e-05,0.035374090076974,0.0016093313034526,0.031412257126286,-57.907079113977
33,0.0044523642381756,-0.00073227199107559,59.543567125399,3.8631658927901e-05,0.037514645009308,0.0016111673793862,0.033510838967134,-59.543567125399
33.5,0.0047428074018978,-0.00077588455348855,61.241012542264,3.9016257461341e-05,0.039798484611845,0.001611487813363,0.03575025714072,-61.241012542264
34,0.0050433062623249,-0.00082066237674073,62.999596025728,3.9416113352664e-05,0.042231075643048,0.0016105614331121,0.038135971393313,-62.999596025728
34.5,0.0053533311153892,-0.00086653745985803,64.819377387245,3.9832314377676e-05,0.044817603827938,0.0016086344012811,0.040673169541808,-64.819377387245
35,0.0056723194748235,-0.00091344109746089,66.700302472236,4.0266053718775e-05,0.04756295431968,0.0016059294133371,0.043366747245239,-66.700302472236
35.5,0.0059996864704769,-0.0009613047441159,68.642210891231,4.0718641783334e-05,0.050471698040887,0.001602645521105,0.046221293587983,-68.642210891231
36,0.0063348348932834,-0.0010100607884105,70.644844384029,4.1191519155235e-05,0.05354808362291,0.0015989584754585,0.049241082216189,-70.644844384029
36.5,0.0066771646026295,-0.0010596432255502,72.707855606212,4.1686270765464e-05,0.056796034539945,0.0015950214911398,0.052430067646418,-72.707855606212
37,0.0070260810692423,-0.0011099882224802,74.830817137693,4.2204641363625e-05,0.060219150939615,0.0015909663449177,0.05579188626851,-74.830817137693
37.5,0.0073810028887775,-0.0011610345742843,77.013230528809,4.2748552364397e-05,0.063820715603756,0.0015869047259171,0.059329861494531,-77.013230528809
38,0.0077413681635036,-0.0012127240547077,79.254535219432,4.3320120130184e-05,0.067603703432294,0.0015829297644392,0.063047012462053,-79.254535219432
38.5,0.0081066397079966,-0.0012650016669548,81.554117189323,4.3921675732605e-05,0.071570793827627,0.0015791176732832,0.066946065681683,-81.554117189323
39,0.0084763090866241,-0.0013178158033826,83.911317222265,4.4555786209597e-05,0.075724385364254,0.0015755294435987,0.071029469023041,-83.911317222265
39.5,0.0088498995338236,-0.0013711183243651,86.325438691069,4.5225277300464e-05,0.080066612154986,0.001572212545601,0.075299407457124,-86.325438691069
40,0.0092269678417617,-0.0014248645675095,88.79575479448,4.5933257596672e-05,0.084599361367034,0.0015692025929086,0.079757820012243,-88.79575479448
40.5,0.0096071053237448,-0.0014790132986626,91.321515199359,4.6683143989856e-05,0.089324291394493,0.0015665249375742,0.08440641745157,-91.321515199359
41,0.0099899379762802,-0.001533526615886,93.901952061799,4.7478688228849e-05,0.094242850254183,0.0015641961708287,0.089246700238742,-93.901952061799
41.5,0.010375125969,-0.0015883698169132,96.536285418535,4.8324004312956e-05,0.099356293835897,0.0015622255119061,0.094279976420443,-96.536285418535
42,0.010762362591106,-0.0016435112396666,99.223727955021,4.9223596347787e-05,0.10466570370258,0.0015606160738882,0.099507379118066,-99.223727955021
42.5,0.011151372777061,-0.0016989220843048,101.96348916876,5.018238637187e-05,0.11017200419835,0.001559366001175,0.10492988338211,-101.96348916876
