time,DJ,DJ_box,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
13.5,0.00035076675371307,0.00037013289875605,-0.00020731663168033,0.0005580833853934,0.00012776404048235,0.00024236885827369,7.9588588394897e-05,0.00026395104168611,-17.159139547354,0.060586800499946,0.031138939384573,0.0018748656299274,0.0059633282031788,17.159139547354
14,0.00043618114614349,0.00045555051089676,-0.00025254983358415,0.00068873097972763,0.00019953575356933,0.00025601475732743,9.2240341873409e-06,0.00032773572339833,-13.040368182179,0.060590677283354,0.031138973666548,0.0013037089728087,0.0064847301649795,13.040368182179
14.5,0.0004746945927272,0.00049004432539924,-0.00025670299768416,0.00073139759041136,0.00024118164283586,0.00024886268256338,-6.8191642186979e-05,0.00033427668157951,-13.43831064291,0.06057810443371,0.031140828296129,0.0008059862193216,0.0068277510450808,13.43831064291
15,0.00049715831997221,0.00050050908570246,-0.00023857889423583,0.00073573721420803,0.00022299687089203,0.00027751221481043,-9.4269360066202e-05,0.00031747984405991,-17.306558138727,0.060570204922884,0.031144483793578,0.00052712833695257,0.0069487275981692,17.306558138727
15.5,-2.5808886023646e-05,-4.0891804365682e-05,-0.00066196730451989,0.00063615841849625,-0.00030309821228229,0.0002622064079166,-0.0005946780438632,-0.00025254743098762,-22.94822294252,0.060586393372042,0.031147884176321,0.00040681002756865,0.00697085194934,22.94822294252
16,-0.00054366517580061,-0.0005737813270769,-0.0010379712618506,0.00049430608604999,-0.00081027992963308,0.00023649860255618,-0.0010160108644877,-0.00079506974607171,-28.755813215533,0.060642895665154,0.031148611276151,0.00035225181722666,0.0069901925892297,28.755813215533
16.5,-0.0002842865599897,-0.00031970681883351,-0.00060249853224471,0.00031821197225501,-0.00050051726294585,0.00018081044411234,-0.00057683260877554,-0.00048921008225668,-33.521531702346,0.060751417222981,0.031148618191842,0.00034980767934912,0.006998889545645,33.521531702346
17,0.00015554516578648,0.00012291215087573,3.4078070276755e-06,0.0001521373587588,5.5722674404288e-07,0.00012235492413169,5.8007475634451e-05,2.9029325349698e-05,-36.493086894031,0.060918192651088,0.03114864185096,0.0004290356433104,0.006980443968096,36.493086894031
17.5,0.00033564201525525,0.00030774060507529,0.00034256310018516,-6.9210849299149e-06,0.00025571856422712,5.2022040848169e-05,0.00041412415189475,0.00029603325945221,-37.436043342943,0.061144894260435,0.0311486737292,0.00056616145139785,0.0069911242601238,37.436043342943
18,0.00034510570673046,0.00031789644445861,0.00049278761037867,-0.00014768190364821,0.00033910836686475,-2.121192240614e-05,0.00055565001854698,0.00037414757423069,-36.710607581821,0.061431275782201,0.031148705143387,0.00066606995216156,0.0071414349389724,36.710607581821
18.5,0.00034911381857321,0.00031598858532411,0.00059572953054046,-0.00024661571196725,0.00038709719012456,-7.1108604800442e-05,0.00064335221859383,0.0004136050290503,-35.192312157608,0.061777274075765,0.031148727761901,0.00064342910289982,0.0074932846931341,35.192312157608
19,0.00035056979623123,0.00030685732282662,0.00068274029227274,-0.00033217049604151,0.00042516301910724,-0.00011830569628063,0.00071335266185127,0.000438660975302,-33.947588573905,0.062182625251812,0.031148736066083,0.00051127208318327,0.0079906378827372,33.947588573905
19.5,0.00037428489800751,0.00032023076998362,0.0007583932916806,-0.00038410839367309,0.00045971923318929,-0.00013948846320567,0.00078040878981444,0.00046209593919719,-33.79472147092,0.062644477952613,0.031148740456828,0.00038465579560004,0.0084910777550501,33.79472147092
20,0.00040573811375444,0.0003447350644461,0.00081244192549288,-0.00040670381173844,0.00048816114915745,-0.00014342608471134,0.00084679452349536,0.00049107571793859,-34.992532264664,0.063155093566,0.031148745702339,0.00040137140240099,0.0088638575982837,34.992532264664
20.5,0.0004462239035779,0.0003818732620768,0.00084186548156425,-0.00039564157798635,0.00051507661850529,-0.0001332033564285,0.00090879054357515,0.00052655250217674,-37.199043855129,0.063700924771635,0.031148756051148,0.0006237025003864,0.0090704877960779,37.199043855129
