time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,disp_upper,external_work,kinetic_energy,strain_energy,top_react
30,0.003207409630102,-0.00017276708485122,-0.00033101022883677,-0.00015773741543476,0.0033187656242976,-0.00030839094345906,52.942612470282,3.9634698424223e-05,0.074189821853199,0.0013906989353237,0.023169928593807,-52.942612470282
30.5,0.003431802017642,-0.00016054292062554,-0.00034391469642693,-0.00017635998775241,0.0035620499259871,-0.00031651223291854,53.773333222648,4.0059565946901e-05,0.075901025892199,0.0015251575113782,0.024690992873871,-53.773333222648
31,0.0036356966310969,-0.00014368850178544,-0.00037565278767442,-0.00017632268061592,0.0037898656099138,-0.00034133278586141,54.934923115634,3.9791661937704e-05,0.077719868950186,0.0016927597058691,0.026289984693749,-54.934923115634
31.5,0.0038237872189376,-0.00012566744682673,-0.00042825233928105,-0.00015695054998126,0.0040039723439199,-0.00038546646086206,56.427426717846,3.9005739631431e-05,0.079638352568796,0.0018865455811679,0.027970550855311,-56.427426717846
32,0.004000334144285,-0.00010500489381734,-0.0005042490571948,-0.00011916829762958,0.0042048989153992,-0.0004527263746487,58.111866068288,3.8002043940339e-05,0.081649887710385,0.0020854435305957,0.029750669092979,-58.111866068288
32.5,0.0041690673481074,-7.6310625131556e-05,-0.00060516444104126,-6.5629420466706e-05,0.0043923271729482,-0.00054633517686086,59.775572522584,3.7116022375277e-05,0.083749161922215,0.0022618060167761,0.03165264299606,-59.775572522584
33,0.0043339867555587,-3.2907702737354e-05,-0.00072949849246828,-5.3334894215003e-07,0.0045666444499113,-0.00066640632817777,61.217805632378,3.6627533504563e-05,0.085932499735983,0.0023905469036097,0.033695273793544,-61.217805632378
33.5,0.0045007975867607,2.9652741768341e-05,-0.00087120186385396,7.0677882446449e-05,0.0047312787633161,-0.0008078914458092,62.32667918618,3.6694106227405e-05,0.088198915330217,0.0024530034324172,0.035892980770884,-62.32667918618
34,0.0046782224411102,0.000110361825369,-0.0010194527652723,0.00014159336403146,0.0048947720082486,-0.00096006706292735,63.123170828436,3.7322914690837e-05,0.090551719410646,0.0024366553402738,0.038257954572894,-63.123170828436
34.5,0.0048782705858609,0.00020110397071996,-0.0011600687912987,0.00020513534506696,0.0050712960094286,-0.0011079870502472,63.76034135624,3.8384689013809e-05,0.093000192212252,0.0023361748372984,0.040799471703965,-63.76034135624
35,0.0051149147907373,0.00028746614671431,-0.0012782575744351,0.00025410148187189,0.0052788008934173,-0.0012355236395001,64.480792933426,3.9662123776665e-05,0.095560624112222,0.0021578283061498,0.043519977241783,-64.480792933426
35.5,0.0054013419820438,0.00035200686407868,-0.0013618935004627,0.00028209143897328,0.0055350561674084,-0.0013290347589314,65.547688541208,4.0917098540278e-05,0.098256069933421,0.001923219384592,0.046412898202816,-65.547688541208
36,0.0057465928464272,0.00037902831038983,-0.0014042948752066,0.0002847074409708,0.0058529013451382,-0.0013805150658428,67.171086113687,4.1956857026512e-05,0.10111448096646,0.0016670964213055,0.049466180113359,-67.171086113687
36.5,0.0061526775649231,0.00035928686078384,-0.0014056596444451,0.00026066766808985,0.006236435765643,-0.0013893132679194,69.451025499053,4.2680586106646e-05,0.10416537477644,0.0014286408795912,0.052669876836327,-69.451025499053
37,0.0066131121650876,0.00029306723612558,-0.0013728242451499,0.00021240249922091,0.006679463912974,-0.0013620138809056,72.352653195871,4.3094617439939e-05,0.1074357019166,0.0012409977770388,0.05602226233229,-72.352653195871
37.5,0.0071133998905388,0.00019060797114488,-0.0013175990574586,0.00014585821413049,0.0071666116407243,-0.0013106898000066,75.718725077199,4.3294759158767e-05,0.1109458850277,0.0011245299866733,0.059530617687519,-75.718725077199
38,0.0076334354568069,6.975692079158e-05,-0.0012543249627835,6.9516604483903e-05,0.0076766487772041,-0.0012501934085141,79.313885291733,4.3424572980685e-05,0.11470701778937,0.0010855272395685,0.063207612413186,-79.313885291733
38.5,0.0081512627640617,-4.8382910682465e-05,-0.0011973498622216,-7.0952719435426e-06,0.0081869999019497,-0.0011952979000957,82.886289027322,4.3625206867978e-05,0.11871990953521,0.0011183095909444,0.067066953129562,-82.886289027322
39,0.0086472124789393,-0.00014448415609549,-0.0011589219825829,-7.4996136798139e-05,0.0086782328526286,-0.0011583365391113,86.228043275372,4.3993554833754e-05,0.12297615088836,0.0012082153842529,0.07112068105054,-86.228043275372
39.5,0.0091073333341363,-0.00020526119475047,-0.0011477395131287,-0.00012706124935896,0.0091374165414449,-0.0011476861768199,89.217746120434,4.4561072860686e-05,0.12746083112011,0.0013349693638752,0.075377673226427,-89.217746120434
40,0.00952527138981,-0.00022586345633134,-0.0011682303638703,-0.00015881617761115,0.0095595919662287,-0.0011671836574723,91.835239986789,4.5297494896157e-05,0.13215613422165,0.0014771303236385,0.079842033971813,-91.835239986789
40.5,0.0099022553120439,-0.00020990560378958,-0.0012205651376312,-0.00016865454713449,0.0099471493736946,-0.0012164097638694,94.147950738204,4.6134980429883e-05,0.1370448906307,0.0016171855665174,0.084511652013067,-94.147950738204
41,0.010245414154205,-0.00016734040854672,-0.0013013457165507,-0.0001575636605162,0.010307512532111,-0.0012916723308352,96.276608446243,4.7001851144205e-05,0.14211328400371,0.0017450721919734,0.089378716006271,-96.276608446243
41.5,0.010565088828879,-0.00011096384357322,-0.0014048014256093,-0.00012852435404885,0.010649996071093,-0.0013874114636425,98.35313534914,4.7852987982693e-05,0.14735223980474,0.0018580049143976,0.094433199430015,-98.35313534914
42,0.010871987282243,-5.2668032189827e-05,-0.0015241895595199,-8.5779061065785e-05,0.010982863350798,-0.0014976520334475,100.48395158172,4.8686508748157e-05,0.15275743633001,0.0019568178534224,0.099667879325487,-100.48395158172
42.5,0.011174964477938,-5.4583823214054e-07,-0.0016530194699659,-3.4145018749748e-05,0.01131143640951,-0.0016171105453478,102.72842029968,4.9542238256769e-05,0.15832825348127,0.0020414242309091,0.10508191869049,-102.72842029968
43,0.011479935820811,4.2389335598596e-05,-0.0017857712851977,2.1506980108098e-05,0.011637689279769,-0.0017416736126033,105.09628257979,5.0484339153086e-05,0.16406621275259,0.0021082624628604,0.1106809927953,-105.09628257979
43.5,0.011790042759271,7.766167244015e-05,-0.0019179709004029,7.6571674840586e-05,0.011961249796341,-0.0018681861930282,107.56175861199,5.1575779632994e-05,0.16997351434941,0.0021507338409722,0.11647438954653,-107.56175861199
44,0.012106787806659,0.00010934953340661,-0.0020457459618803,0.00012687132195521,0.012281299000352,-0.0019937436673417,110.08730364886,5.2854389187519e-05,0.17605214861225,0.0021615626382823,0.12247120197122,-110.08730364886
44.5,0.012431560626043,0.00014146698248308,-0.0021652082328762,0.00016875056929891,0.012598604298222,-0.002114875774295,112.64793552531,5.4318779034488e-05,0.18230380109152,0.0021354006046582,0.12867749821804,-112.64793552531
45,0.012766887277606,0.0001756543989226,-0.0022720776147307,0.00019918662639745,0.01291690942549,-0.0022270628051726,115.24788979887,5.5928353675633e-05,0.18873046808492,0.0020707707222569,0.13509501729632,-115.24788979887
45.5,0.013116886570503,0.00020995018650993,-0.0023618402140402,0.00021595120979198,0.013243130765176,-0.0023249033420589,117.92458243184,5.7616700685864e-05,0.19533544578874,0.0019712890069966,0.1417210389166,-117.92458243184
46,0.013486750379869,0.00023901243482143,-0.0024304707651005,0.00021780794528696,0.013586216213986,-0.0024029919804892,120.73931670332,5.9313492828439e-05,0.20212422761108,0.0018461269446651,0.14854918024592,-120.73931670332
46.5,0.0138814423055,0.00025566761005371,-0.0024754733960476,0.00020469500160239,0.013954990101441,-0.0024572611993516,123.75843561446,6.0967798594392e-05,0.20910487648935,0.0017092514249665,0.15557125441503,-123.75843561446
47,0.01430408427066,0.00025323970742481,-0.0024968343747633,0.0001778346407734,0.014355676641489,-0.0024863197867969,127.03142449808,6.2565755372352e-05,0.21628761661122,0.0015770408139016,0.1627800922307,-127.03142449808
47.5,0.014754585859048,0.00022788277853898,-0.0024975035123894,0.00013972118571953,0.014789921938174,-0.0024922814491494,130.57307235604,6.4137622412864e-05,0.22368365009982,0.0014647115541835,0.17017242761654,-130.57307235604
48,0.01522896656943,0.00018016230680152,-0.0024832021115974,9.3956539176958e-05,0.015253964426819,-0.0024807448165733,134.35518804884,6.5752542395006e-05,0.23130346210485,0.0013829009971093,0.17775045530463,-134.35518804884
48.5,0.015719592745326,0.00011538755959367,-0.002461599085664,4.4924360626436e-05,0.015739204921448,-0.0024598894304439,138.31019493885,6.7502914032058e-05,0.23915504917466,0.001335851949515,0.18552115125277,-138.31019493885
49,0.016216284872988,4.2598441482723e-05,-0.0024410937302051,-2.6775622944024e-06,0.016233965319213,-0.0024389592426881,142.34526871677,6.9483128252022e-05,0.24724253837929,0.0013217933943983,0.19349362674216,-142.34526871677
49.5,0.016708019726945,-2.7474315313887e-05,-0.0024295259196547,-4.4392178196068e-05,0.016725877247055,-0.002426588355919,146.36267069043,7.1768791304852e-05,0.25556555280689,0.0013349992338047,0.20167576542463,-146.36267069043
50,0.017184805419238,-8.4858291363108e-05,-0.0024330997322085,-7.6557087810815e-05,0.017204215933541,-0.002429423069062,150.28041215837,7.4402120152595e-05,0.26411946390323,0.001368414396757,0.21007153916094,-150.28041215837
