time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
15,-0.00014397605519373,-0.0072636439224114,-0.0074076199776052,-0.0011833884281062,0.10708282464182,-98.089129031781,0.0091078982333822,0.37814569903844,0.49651369076237,0.51205813982906,0.0033459793931388,0,0
15.25,-3.3572156313527e-05,-0.0075420386310739,-0.0075756107873875,-0.0011924750159668,0.10976102543277,-86.113923055716,0.0095334413555797,0.40107297455944,0.49651393578927,0.48590010349383,0.003279129208779,0,0
15.5,8.4460063615026e-05,-0.0077178215517206,-0.0076333614881056,-0.001207304787389,0.11249566320971,-62.014429529443,0.0099676646474138,0.42383619157225,0.4965141695141,0.46038032112713,0.0032552065175752,0,0
15.75,0.00019486822303487,-0.0078989665466029,-0.007704098323568,-0.0012364727388023,0.11526379393316,-22.287229676242,0.010312971794797,0.44459566359245,0.49651437965351,0.43824454503483,0.0032212844183012,0,0
16,0.00027376102810148,-0.0081012547573728,-0.0078274937292713,-0.001290768820913,0.11804173763531,33.874060852408,0.010390741729156,0.46009158816968,0.49651455111345,0.42338949128865,0.0031660672632098,0,0
16.25,0.00037617866330068,-0.0083033627817044,-0.0079271841184037,-0.0013769293418735,0.12082351746285,102.84753168747,0.010112998547106,0.46659886622928,0.49651467532092,0.41910446849876,0.0030885673976408,0,0
16.5,0.00060396870409806,-0.0083447506717201,-0.0077407819676221,-0.0014928746874642,0.12360303623185,176.19874270716,0.0096035711521538,0.46260174023779,0.49651475819586,0.42495130802756,0.0029928883415675,0,0
16.75,0.00096996926836989,-0.0085124207109416,-0.0075424514425717,-0.0016341825148974,0.12638221250141,242.41176421196,0.009058464537635,0.45100495830702,0.49651481819795,0.43567599801476,0.0029230581041844,0,0
17,0.0013914810105533,-0.0086699870980422,-0.0072785060874889,-0.0017999041832941,0.12917328533348,290.42070907094,0.008561613102239,0.43786420275008,0.49651487492302,0.44477874522422,0.0029003755929177,0,0
17.25,0.0018088935818679,-0.0089487727138584,-0.0071398791319905,-0.0019887416657172,0.13198598747025,313.46520935832,0.0081015949077143,0.42823187840891,0.49651493843787,0.44890077626171,0.0028800627430394,0,0
17.5,0.0022211467145199,-0.0090990620349176,-0.0068779153203977,-0.0021960508223055,0.13484425707003,311.42993842594,0.007661233866319,0.42307745772416,0.49651500866106,0.44938340773731,0.0028625153780756,0,0
17.75,0.002636593803631,-0.0091254440784811,-0.00648885027485,-0.0024179617187923,0.13776457089936,290.61436577819,0.0072331012248784,0.41944335808219,0.4965150834322,0.45028590762767,0.0028479329543871,0,0
18,0.0030551920728605,-0.0093329016791865,-0.0062777096063261,-0.002657530256988,0.14071195932568,261.24236631424,0.0068148234534407,0.41381109219134,0.49651516558612,0.45437666733272,0.0028371903226344,0,0
18.25,0.003472271773135,-0.0095096047733303,-0.0060373330001953,-0.0029158085836198,0.14366986404602,233.97606272464,0.0064127053405188,0.4051441985559,0.4965152621907,0.46104630664575,0.0028294161604647,0,0
18.5,0.0038721217936794,-0.0096853494132178,-0.0058132276195383,-0.003163557992096,0.14663878328546,216.7609679998,0.006026926088945,0.39512805075104,0.49651537870356,0.46786764292191,0.0028255362158279,0,0
18.75,0.0042332724301566,-0.0096340160825566,-0.0054007436524,-0.0033333362467746,0.14964100989957,212.82790992457,0.0056401664419099,0.38548478665513,0.49651551581121,0.47406595609637,0.0028252169345512,0,0
19,0.0045489299710497,-0.0095449743421375,-0.0049960443710878,-0.0033573837744359,0.15269347116247,220.21749283369,0.0052380361095553,0.37553741595511,0.49651567236245,0.48136332262386,0.0028262828401263,0,0
19.25,0.0048338725574532,-0.0094996138396548,-0.0046657412822016,-0.0032156127165989,0.15581397176197,232.97299959298,0.0048296466876241,0.36364409729692,0.49651585025751,0.49119144819775,0.0028281800413178,0,0
19.5,0.0051090738586727,-0.0094315110217747,-0.0043224371631021,-0.0029528662662793,0.15897859927765,243.83945280146,0.0044329757553792,0.34927813422261,0.49651605516018,0.50294561558,0.0028309415935969,0,0
19.75,0.0053837814275289,-0.0095988261565321,-0.0042150447290032,-0.0026516448641215,0.16218901092375,247.60843038494,0.0040571379997382,0.3335544101607,0.49651629196957,0.51566319028122,0.0028350747353278,0,0
20,0.0056433298982359,-0.0092119604493628,-0.0035686305511269,-0.0023745860570909,0.16543501962729,243.51266263822,0.003710823483046,0.31660013380237,0.49651655988358,0.52961235577597,0.0028416231788258,0,0
20.25,0.0058456519050835,-0.0090933691215863,-0.0032477172165028,-0.0021287972610309,0.16872252317349,235.18054959197,0.0033959829108587,0.29850773478159,0.49651685235004,0.54472415907054,0.0028526200041408,0,0
20.5,0.005952171309701,-0.0086782438816814,-0.0027260725719804,-0.0018821215045465,0.17205114073608,228.02662175159,0.0030842654512447,0.27974778087106,0.49651716232933,0.56000674050904,0.0028682939116953,0,0
20.75,0.0059809139283705,-0.0083970342761733,-0.0024161203478027,-0.0015985596984342,0.17545695742217,225.75092096582,0.0027498176770487,0.26152083100018,0.49651748832555,0.57403363442289,0.0028868492171919,0,0
21,0.0060128294888507,-0.0080502768702445,-0.0020374473813938,-0.0012644086787228,0.17893869133457,228.31758792225,0.0024526000868265,0.24532358347316,0.4965178360559,0.5848635097415,0.0029081989404085,0,0
21.25,0.0061226830780993,-0.0080911134607547,-0.0019684303826555,-0.00090436535785144,0.18249050305462,232.65672384378,0.0023469044263176,0.23379937145177,0.49651821433702,0.58944116724298,0.0029322460261851,0,0
21.5,0.0062948185485687,-0.0079820765549214,-0.0016872580063527,-0.00057185149775487,0.18613216309853,235.2845280237,0.0025623128235893,0.22979022085479,0.49651862829818,0.58517256588057,0.002958439696198,0,0
21.75,0.0064116707712009,-0.0079144255805714,-0.0015027548093705,-0.00030972350553734,0.18985292162532,234.75656543122,0.0030935397736376,0.23467014338573,0.49620658789784,0.57200711761926,0.0029860387893326,0,0
22,0.0063388042764679,-0.0078041881628649,-0.001465383886397,-0.00012288132004326,0.19367122713873,232.27442219045,0.003829655010057,0.24660047036771,0.49620705687913,0.55372793368396,0.0030143883357304,0,0
22.25,0.006049108580973,-0.0077320514667536,-0.0016829428857806,5.407841857852e-06,0.19754643954841,230.32465876649,0.0046584348913071,0.26084402243216,0.49620753617115,0.53549720055315,0.0030429869643783,0,0
22.5,0.0056895731756765,-0.007880469174982,-0.0021908959993055,7.9819440781685e-05,0.20152492934571,230.63603104234,0.0055165966962045,0.27310321628203,0.49620801700791,0.52110031936186,0.0030714968599621,0,0
22.75,0.0055077237432926,-0.0080023775455633,-0.0024946538022707,9.1025899084282e-05,0.20554897341301,233.03267940962,0.0063657465786022,0.28080257100293,0.49620849558621,0.51102836534768,0.0031005482049301,0,0
23,0.0056679517464817,-0.0088959077287158,-0.0032279559822342,4.5829452328747e-05,0.20964868426929,235.8916703421,0.0071520053055822,0.28576711312176,0.49620897102191,0.50227473952273,0.003133462907306,0,0
23.25,0.0061279009710312,-0.0094680001971159,-0.0033400992260848,-2.3012930940765e-05,0.21379081556484,237.62252773071,0.0077976781471156,0.29082176154016,0.49620944289601,0.49156989000413,0.0031710177148481,0,0
23.5,0.0067003889456387,-0.010551401159521,-0.0038510122138823,-8.4776359417744e-05,0.2179668755848,237.85523733956,0.0082347734636236,0.29880624205588,0.49620991110398,0.47732694157773,0.0032103629508856,0,0
